Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABD_smooth,angle_smooth,dmotor,cycle,L_est_cm,theta_from_R(compose)
62115,4,Extend,>>,-427,-27.69,351,330,421,3.0125556356475545,-20.256000000000007,-3.7620000000000005,1,-2.78864379099125,1.977189903779541
62226,4,Extend,>>,-472,-31.47,344,324,412,4.047298381973679,-24.018000000000004,-3.761999999999997,1,-2.8833978537936,3.114891215827655
62336,4,Extend,>>,-517,-35.25,320,319,407,4.7778843227751935,-27.762000000000008,-3.7440000000000033,1,-3.1801533360608496,7.126345003181902
62445,4,Extend,>>,-562,-39.56,310,317,404,5.698236151282918,-31.612000000000005,-3.849999999999998,1,-3.290952931269915,8.798360433186168
62556,4,Extend,>>,-607,-43.52,304,312,402,6.490304688566653,-35.498000000000005,-3.8859999999999992,1,-3.353804870305296,9.788942303720653
62666,4,Extend,>>,-652,-47.47,303,312,403,6.885796020670491,-39.45400000000001,-3.956000000000003,1,-3.36401566507546,9.952749062051414
62777,4,Extend,>>,-697,-51.34,301,307,400,7.358171638349304,-43.42800000000001,-3.9740000000000038,1,-3.3842105159851577,10.279094669858479
62886,4,Extend,>>,-742,-55.03,299,305,401,8.284781142003453,-47.38400000000001,-3.955999999999996,1,-3.4041030487206845,10.603632152918733
62997,4,Extend,>>,-787,-58.99,298,300,400,8.698927176927135,-51.27,-3.8859999999999957,1,-3.4139359457731335,10.765179251293022
63108,4,Extend,>>,-832,-62.59,299,296,394,8.892843568515623,-55.084,-3.814,1,-3.4041030487206845,10.603632152918733
63217,4,Extend,>>,-877,-66.37,296,290,389,9.334452478470777,-58.86400000000001,-3.7800000000000082,1,-3.4333750012474034,11.086744126258123
63327,4,Extend,>>,-922,-70.07,296,287,383,9.831055159850369,-62.61,-3.745999999999988,1,-3.4333750012474034,11.086744126258123
63438,4,Extend,>>,-967,-73.67,296,281,380,10.014309079901505,-66.33800000000001,-3.7280000000000086,1,-3.4333750012474034,11.086744126258123
63548,4,Extend,>>,-1012,-77.54,296,279,379,10.065477503343338,-70.04800000000002,-3.710000000000008,1,-3.4333750012474034,11.086744126258123
63658,4,Extend,>>,-1057,-81.23,295,277,379,10.309279307125491,-73.776,-3.72799999999998,1,-3.4429811596692237,11.246727885441857
63769,4,Extend,>>,-1102,-85.1,295,273,376,10.516241469678343,-77.522,-3.7460000000000093,1,-3.4429811596692237,11.246727885441857
