Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABD_smooth,angle_smooth,dmotor,cycle,L_est_cm,theta_from_R(compose)
212805,4,Extend,>>,648,63.21,455,382,553,-16.595939727701058,70.946,-3.88600000000001,6,-0.9446240183125698,-6.3674269646052215
212915,4,Extend,>>,603,59.34,454,380,551,-16.946259944251093,67.078,-3.867999999999995,6,-0.966247324157707,-6.421643672700639
213024,4,Extend,>>,558,55.56,452,379,545,-17.30386398571687,63.22800000000001,-3.8499999999999943,6,-1.009267197217354,-6.518777033140983
213134,4,Extend,>>,513,51.78,452,379,537,-17.23970914257621,59.394000000000005,-3.834000000000003,6,-1.009267197217354,-6.518777033140983
213243,4,Extend,>>,468,47.91,449,375,529,-17.104946131541972,55.56,-3.834000000000003,6,-1.0732301602302527,-6.636790562702924
213353,4,Extend,>>,423,43.78,449,369,521,-16.516534861304045,51.674,-3.886000000000003,6,-1.0732301602302527,-6.636790562702924
213463,4,Extend,>>,378,40.09,448,371,513,-15.880290452758612,47.824,-3.8500000000000014,6,-1.0943999888141334,-6.668894711314168
213573,4,Extend,>>,333,36.4,443,364,502,-15.167643620835117,43.992000000000004,-3.8319999999999936,6,-1.1991154385803924,-6.776826847122206
213683,4,Extend,>>,288,32.53,444,362,494,-14.457215898755877,40.142,-3.8500000000000014,6,-1.178323507714227,-6.762129849177161
213792,4,Extend,>>,243,28.75,440,355,483,-13.70766312813306,36.31,-3.8320000000000007,6,-1.2610377539176336,-6.800832240327328
213902,4,Extend,>>,198,24.88,437,351,474,-12.95699735501096,32.53,-3.780000000000001,6,-1.3222798533629887,-6.795466371254184
214011,4,Extend,>>,153,21.1,435,345,464,-12.230452557407622,28.732,-3.798000000000002,6,-1.3627300219421778,-6.776048512419681
214121,4,Extend,>>,108,17.32,432,340,455,-11.178786299760544,24.916,-3.815999999999999,6,-1.4228384282343898,-6.723868663379205
214231,4,Extend,>>,63,13.54,427,335,451,-10.328263695852872,21.118000000000002,-3.7979999999999983,6,-1.5215075145172192,-6.577758291056387
214340,4,Extend,>>,18,9.67,424,330,438,-9.678539108898692,17.302,-3.8160000000000025,6,-1.5798020117644023,-6.456125155250951
214450,4,Extend,>>,-27,5.98,419,327,437,-8.751433179466355,13.522,-3.7799999999999994,6,-1.675447916305516,-6.19973877081457
214560,4,Extend,>>,-72,2.2,412,323,429,-7.15190074090618,9.741999999999999,-3.780000000000001,6,-1.806177841834275,-5.73510440562141
214670,4,Extend,>>,-117,-1.58,412,319,425,-5.806939636719197,5.962,-3.7799999999999994,6,-1.806177841834275,-5.73510440562141
214779,4,Extend,>>,-162,-5.36,406,316,419,-4.579409802596212,2.182,-3.78,6,-1.9152844615178963,-5.246342233907924
214889,4,Extend,>>,-207,-9.05,402,313,415,-3.0470735228102743,-1.562,-3.7439999999999998,6,-1.9865106171027862,-4.877706126769775
214999,4,Extend,>>,-252,-12.92,395,309,407,-1.7245980668667822,-5.3420000000000005,-3.7800000000000002,6,-2.108246576949943,-4.157004206666862
215108,4,Extend,>>,-297,-16.79,393,309,401,-0.4383761782148434,-9.14,-3.798,6,-2.1423480638715304,-3.9346087509058343
215218,4,Extend,>>,-342,-20.57,384,295,396,1.3684661562784526,-12.937999999999999,-3.7979999999999983,6,-2.292063567613302,-2.8520280203710566
215328,4,Extend,>>,-387,-24.18,378,298,388,2.857193242846607,-16.702,-3.764000000000003,6,-2.3884728239817195,-2.0633322867742896
215437,4,Extend,>>,-432,-27.69,369,297,385,3.9474870753097777,-20.43,-3.727999999999998,6,-2.5279850893452025,-0.7950098548163218
215547,4,Extend,>>,-477,-31.38,355,291,381,4.730564016538804,-24.122,-3.692,6,-2.7328358622891065,1.3395355522960484
215657,4,Extend,>>,-522,-35.08,339,281,377,6.093449260516668,-27.779999999999994,-3.657999999999994,6,-2.9488119409175635,3.940742084568934
215766,4,Extend,>>,-567,-39.21,330,282,375,7.090306634198347,-31.508,-3.728000000000005,6,-3.061795786497497,5.444941282684022
215876,4,Extend,>>,-612,-42.99,322,282,375,8.10040519918822,-35.269999999999996,-3.761999999999997,6,-3.157086462496522,6.790171583877652
215986,4,Extend,>>,-657,-46.77,309,278,372,9.517072944629874,-39.086,-3.8160000000000025,6,-3.3016172033013356,8.964287671494695
216096,4,Extend,>>,-702,-50.73,308,281,373,10.182842600218857,-42.956,-3.8700000000000045,6,-3.3122058957892135,9.129907379854656
216205,4,Extend,>>,-747,-54.33,304,277,370,10.898763843403644,-46.806,-3.8499999999999943,6,-3.353804870305296,9.788942303720653
216315,4,Extend,>>,-792,-58.2,300,275,371,11.575636107250668,-50.604,-3.798000000000002,6,-3.3941945721246927,10.441598179322257
216425,4,Extend,>>,-837,-61.98,304,274,369,12.046848920377183,-54.402,-3.798000000000002,6,-3.353804870305296,9.788942303720653
216535,4,Extend,>>,-882,-65.67,303,273,369,12.40656899656296,-58.181999999999995,-3.779999999999994,6,-3.36401566507546,9.952749062051414
216645,4,Extend,>>,-927,-69.54,301,272,366,12.893827533236385,-61.944,-3.7620000000000076,6,-3.3842105159851577,10.279094669858479
216755,4,Extend,>>,-972,-73.32,302,273,368,13.574775796549163,-65.742,-3.798000000000002,6,-3.3741508803020803,10.116139096142868
216865,4,Extend,>>,-1017,-77.36,301,272,367,13.998196940950308,-69.574,-3.8319999999999936,6,-3.3842105159851577,10.279094669858479
216976,4,Extend,>>,-1062,-81.14,300,271,368,14.164283550551165,-73.406,-3.832000000000008,6,-3.3941945721246927,10.441598179322257
217086,4,Extend,>>,-1107,-85.01,298,265,365,14.272152359054193,-77.274,-3.867999999999995,6,-3.4139359457731335,10.765179251293022
217195,4,Extend,>>,-1152,-88.7,296,267,368,14.593952307270648,-81.106,-3.8319999999999936,6,-3.4333750012474034,11.086744126258123
217305,4,Extend,>>,-1197,-92.48,295,269,369,15.209188497725648,-84.938,-3.832000000000008,6,-3.4429811596692237,11.246727885441857
217415,4,Extend,>>,-1242,-96.44,297,266,365,15.759429733864826,-88.754,-3.8160000000000025,6,-3.42369326328204,10.926222267350752
217525,4,Extend,<<,-1242,-99.96,298,268,371,15.788237167634165,-92.518,-3.763999999999996,6,-3.4139359457731335,10.765179251293022
217634,4,Extend,<<,-1197,-101.36,300,268,370,15.634220950242092,-95.788,-3.269999999999996,6,-3.3941945721246927,10.441598179322257
217744,4,Extend,<<,-1152,-101.45,305,273,379,15.58453572606366,-98.338,-2.549999999999997,6,-3.3435184959915896,9.624736689547692
217854,4,Extend,<<,-1107,-100.92,308,281,381,15.80234757664899,-100.026,-1.6880000000000024,6,-3.3122058957892135,9.129907379854656
217964,4,Extend,<<,-1062,-97.58,309,274,380,15.875751439656838,-100.25399999999999,-0.22799999999999443,6,-3.3016172033013356,8.964287671494695
