Time(ms),MotorID,SensorA0,∠ABD_smooth,cycle
59150,4,456,-9.038212849156242,1
59259,4,455,-10.670662669501256,1
59369,4,456,-11.34765612539275,1
59479,4,457,-11.212343830262798,1
59588,4,457,-10.85725177396705,1
59698,4,456,-11.236128735762204,1
59808,4,453,-11.75325755145257,1
59918,4,453,-11.716476704507707,1
60028,4,453,-11.246296459140176,1
60138,4,451,-10.621371092596434,1
60248,4,450,-9.732658544224106,1
60357,4,446,-8.371497860495323,1
60467,4,442,-7.682079397490481,1
60577,4,438,-7.623025414231814,1
60686,4,433,-7.259136129566901,1
60796,4,429,-6.71713962059391,1
60906,4,427,-6.131618478013722,1
61016,4,420,-5.38606021318157,1
61126,4,417,-4.414988556168105,1
61236,4,408,-3.5187535257506037,1
61346,4,399,-2.6550104105350107,1
61456,4,396,-1.4917382314962688,1
61565,4,395,-0.5576286974114417,1
61675,4,387,0.0720689555622614,1
61786,4,379,0.9748405260357552,1
61896,4,371,1.5925393352944972,1
62006,4,363,2.1457088697786384,1
62115,4,351,3.0125556356475545,1
62226,4,344,4.047298381973679,1
62336,4,320,4.7778843227751935,1
62445,4,310,5.698236151282918,1
62556,4,304,6.490304688566653,1
62666,4,303,6.885796020670491,1
62777,4,301,7.358171638349304,1
62886,4,299,8.284781142003453,1
62997,4,298,8.698927176927135,1
63108,4,299,8.892843568515623,1
63217,4,296,9.334452478470777,1
63327,4,296,9.831055159850369,1
63438,4,296,10.014309079901505,1
63548,4,296,10.065477503343338,1
63658,4,295,10.309279307125491,1
63769,4,295,10.516241469678343,1
63879,4,291,10.667294172733705,1
63990,4,292,10.887989375137336,1
64100,4,290,10.882050637001528,1
64209,4,294,10.991520349968884,1
64319,4,296,11.178097525895865,1
64430,4,301,11.253144741205537,1
64541,4,303,11.457886845096452,1
64651,4,303,11.33169838804362,1
88476,4,461,8.61986460093907,2
88587,4,460,6.569575783333384,2
88698,4,461,5.28257323574158,2
88810,4,459,3.946942904044159,2
88921,4,459,1.8400101324120144,2
89032,4,458,-0.0438537563532436,2
89144,4,458,-1.8013152539129176,2
89255,4,459,-3.365889716553787,2
89366,4,458,-4.363793133852904,2
89478,4,458,-5.253081510474969,2
89588,4,458,-6.092537733737169,2
89700,4,457,-6.964777603602695,2
89811,4,457,-7.898657645226283,2
89922,4,458,-8.868171211179273,2
90034,4,457,-9.658891229369154,2
90145,4,455,-10.151567517434817,2
90255,4,456,-10.318449190956136,2
90365,4,456,-10.474587503867948,2
90476,4,454,-10.473554991995652,2
90587,4,451,-10.583572678600229,2
90699,4,449,-10.210947801973733,2
90810,4,446,-9.581061031957663,2
90921,4,448,-8.52368318492266,2
91032,4,443,-7.89626486748765,2
91143,4,440,-7.454245854513731,2
91255,4,436,-6.685281251103698,2
91366,4,433,-6.264979721312588,2
91477,4,428,-5.700299625723456,2
91588,4,424,-4.745585809552746,2
91700,4,423,-3.752296766882041,2
91811,4,419,-2.6838061202739167,2
91921,4,414,-1.2460620328247074,2
92032,4,404,-0.5030253365507718,2
92144,4,403,-0.0395984421661118,2
92255,4,399,0.4228390306084989,2
92367,4,388,0.4956196572445954,2
92478,4,380,0.9567703126494336,2
92589,4,368,2.4844786073960887,2
92700,4,354,3.561021125929905,2
92812,4,338,4.133022184197815,2
92924,4,325,4.818967686546192,2
93035,4,320,5.6730398186076805,2
93147,4,316,6.477570656898333,2
93256,4,308,7.602213023145872,2
93370,4,311,8.22702523980134,2
93482,4,305,8.724909371687506,2
93594,4,302,9.328183114847084,2
93706,4,300,9.853094560343514,2
93817,4,299,10.21366636041346,2
93929,4,297,10.502618844439702,2
94040,4,299,10.806186089854606,2
94152,4,296,10.880748612583474,2
94263,4,296,10.939433987143763,2
94375,4,293,11.309377479547509,2
94486,4,293,11.46417736886561,2
94597,4,289,11.55167067400383,2
94708,4,294,11.771775718702251,2
94819,4,294,11.854342225928512,2
94930,4,298,11.96332271343067,2
95042,4,305,12.058431825226162,2
95153,4,305,12.272726180992478,2
95264,4,307,12.45084073938816,2
119147,4,491,7.029466612152586,3
119257,4,490,5.209456731947018,3
119368,4,492,4.209814635947083,3
119480,4,491,3.027170154428448,3
119591,4,492,1.392431451397404,3
119701,4,490,0.3358501272367459,3
119812,4,490,-0.7763124481018927,3
119924,4,490,-2.18359496573263,3
120034,4,490,-3.141258723052263,3
120145,4,484,-4.092722596375,3
120257,4,481,-5.39866284373093,3
120368,4,482,-6.51609066172832,3
120479,4,479,-7.577541979949983,3
120590,4,472,-9.034599146934733,3
120701,4,469,-10.452152517976527,3
120812,4,468,-11.270499568810717,3
120923,4,466,-11.7468445910675,3
121036,4,463,-12.221401023332811,3
121150,4,459,-12.300571284638409,3
121264,4,457,-12.299670734325868,3
121378,4,452,-12.207651077091992,3
121491,4,448,-11.619743770117982,3
121605,4,441,-11.14686765339331,3
121718,4,430,-10.209144627135476,3
121832,4,426,-9.417639879475718,3
121945,4,421,-8.375064139523483,3
122058,4,411,-7.048637487499001,3
122172,4,411,-6.182822231034606,3
122286,4,402,-5.287140967147562,3
122400,4,395,-4.599425973093563,3
122515,4,393,-3.873570818305721,3
122628,4,387,-2.9027022187584848,3
122743,4,379,-2.0824398747635096,3
122857,4,374,-0.9027198593388788,3
122970,4,361,0.0662051516465579,3
123083,4,349,1.2348101379955618,3
123195,4,339,2.1033284770647724,3
123306,4,332,2.7745031641118003,3
123421,4,327,3.453286048470071,3
123535,4,323,4.0054955893531385,3
123650,4,321,4.76576283222796,3
123764,4,314,5.479730950733032,3
123878,4,313,6.40842983575496,3
123992,4,305,7.93223690467177,3
