Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth,θ_total,L_est_cm,theta_from_R(compose),phase_used
142140,1,Flex,>>,2019,183.03,355,316,461,60.00509011635461,28.447881723687125,88.45297184004173,-1.2300602583990574,69.20708053148184,Flex
142154,2,Flex,>>,-322,-19.69,355,314,457,60.463128964823824,28.71901630062416,89.18214526544799,-1.178869760922248,68.36985923882807,Flex
142169,3,Flex,>>,-1394,-113.49,355,312,454,60.463128964823824,28.71901630062416,89.18214526544799,-1.1273738125885693,67.50847983096469,Flex
142249,1,Flex,>>,1980,179.78,359,315,464,61.45623622519166,29.29145143373976,90.74768765893143,-1.2045031910177615,68.7914683535684,Flex
142264,2,Flex,>>,-386,-25.41,356,316,461,61.45623622519166,29.29145143373976,90.74768765893143,-1.2300602583990574,69.20708053148184,Flex
142278,3,Flex,>>,-1460,-119.21,354,314,463,61.838600794672125,29.409586743060725,91.24818753773285,-1.178869760922248,68.36985923882807,Flex
142359,1,Flex,>>,1941,176.35,359,319,469,62.42150068357762,29.86131463178753,92.28281531536516,-1.3062732842576414,70.4183591452209,Flex
142373,2,Flex,>>,-450,-30.77,360,318,467,62.42150068357762,29.86131463178753,92.28281531536516,-1.2809453050189976,70.02048368400034,Flex
142388,3,Flex,>>,-1526,-124.92,360,313,464,62.75393748509377,30.07745283381451,92.83139031890829,-1.1531599681125173,67.9422106269824,Flex
142469,1,Flex,>>,1902,173.01,368,319,472,63.445648074639216,30.464743113564737,93.91039118820396,-1.3062732842576414,70.4183591452209,Flex
142483,2,Flex,>>,-514,-36.4,366,316,470,63.66437467407978,30.7422173645842,94.40659203866397,-1.2300602583990574,69.20708053148184,Flex
142498,3,Flex,>>,-1592,-130.73,368,311,470,63.66437467407978,30.7422173645842,94.40659203866397,-1.101511294350404,67.06862403691994,Flex
142578,1,Flex,>>,1863,169.49,382,319,478,64.35279755970845,31.20483507478449,95.55763263449293,-1.3062732842576414,70.4183591452209,Flex
142593,2,Flex,>>,-578,-41.85,382,319,476,64.35279755970845,31.20483507478449,95.55763263449293,-1.3062732842576414,70.4183591452209,Flex
142607,3,Flex,>>,-1658,-136.44,381,318,472,64.35279755970845,31.20483507478449,95.55763263449293,-1.2809453050189976,70.02048368400034,Flex
142688,1,Flex,>>,1824,165.98,396,321,482,64.80462800454538,31.73522830392313,96.5398563084685,-1.3567001545922777,71.19666810321134,Flex
142702,2,Flex,>>,-642,-47.3,396,320,479,64.80462800454538,31.73522830392313,96.5398563084685,-1.3315249007820682,70.81040664284555,Flex
142717,3,Flex,>>,-1724,-142.15,398,323,479,65.13493621159881,31.813178603598235,96.94811481519704,-1.4068215740700443,71.95199998357319,Flex
