Time(ms),MotorID,Angle(deg),angle_smooth,delta_motor,cycle,L_cm,L_rel_cm,θ_total,∠ABC_smooth,∠BCD_smooth
95277,6,49.85,57.91799999999999,-4.07800000000001,2,1.0108597961700756,-0.5538976914129206,30.464961550080346,23.60495981728993,6.860001732790414
95389,6,45.8,53.874,-4.04399999999999,2,0.9402786812194251,-0.624478806363571,30.325147998921235,23.486250796234444,6.838897202686791
95500,6,41.85,49.866,-4.008000000000003,2,0.8703258847994924,-0.6944316027835038,30.300724956231072,23.331969824865887,6.968755131365183
95611,6,37.8,45.856,-4.009999999999998,2,0.8003381817945198,-0.7644193057884764,30.621804982738887,23.375541739097823,7.246263243641065
95722,6,33.76,41.812,-4.044000000000004,2,0.729757066843869,-0.8350004207391272,30.381844576620573,23.272434444845928,7.109410131774643
95833,6,29.71,37.784,-4.027999999999999,2,0.6594552045735375,-0.9053022830094587,30.41304716259606,23.236068686392684,7.176978476203377
95945,6,25.67,33.758,-4.025999999999996,2,0.5891882488882458,-0.9755692386947503,30.548839476785812,23.317056896282963,7.231782580502849
96057,6,21.71,29.73,-4.028000000000002,2,0.5188863866179142,-1.045871100965082,30.5027211961635,23.2385849003119,7.264136295851602
96169,6,17.76,25.722,-4.007999999999999,2,0.44893359019798146,-1.1158238973850148,30.531500416813543,23.28052792295579,7.250972493857752
96280,6,13.8,21.73,-3.992000000000001,2,0.3792600464583678,-1.1854974411246284,30.511721751315434,23.459131228478103,7.052590522837333
96391,6,9.76,17.740000000000002,-3.9899999999999984,2,0.3096214093037941,-1.255136078279202,30.467159503795656,23.27294310332525,7.194216400470408
96503,6,5.54,13.714000000000002,-4.026,2,0.23935445361850238,-1.3254030339644938,30.50421194601463,23.25044566847679,7.253766277537843
96615,6,1.67,9.706,-4.008000000000003,2,0.16940165719856962,-1.3953558303844265,30.495481353490764,23.25077100864063,7.244710344850135
96726,6,-2.46,5.662000000000001,-4.043999999999999,2,0.09882054224791895,-1.4659369453350772,30.442165233857367,23.08301775493012,7.359147478927248
96838,6,-6.42,1.6179999999999999,-4.0440000000000005,2,0.02823942729726825,-1.536518060285728,30.469987558969486,23.448109571702048,7.021877987267437
96949,6,-10.46,-2.426,-4.0440000000000005,2,-0.042341687653382434,-1.6070991752363786,30.52988312427281,23.622863667334315,6.907019456938495
97061,6,-14.59,-6.452000000000001,-4.026000000000001,2,-0.11260864333867415,-1.6773661309216703,30.49582141534804,23.57633066894047,6.919490746407567
97173,6,-18.55,-10.496,-4.044,2,-0.18318975828932485,-1.747947245872321,30.394260075515348,23.62635319854181,6.767906876973537
97285,6,-22.68,-14.540000000000001,-4.0440000000000005,2,-0.25377087323997555,-1.8185283608229716,30.411402745032703,23.51517092984389,6.896231815188811
97397,6,-26.9,-18.636000000000003,-4.096000000000002,2,-0.3252595594016633,-1.8900170469846596,30.58815928638712,23.54374449664868,7.04441478973844
97509,6,-31.03,-22.75,-4.113999999999997,2,-0.39706240482870997,-1.961819892411706,30.546085325402885,23.46328302655467,7.082802298848216
97621,6,-34.99,-26.830000000000002,-4.080000000000002,2,-0.4682718383100786,-2.0330293258930747,30.519689787372318,23.465814201304816,7.053875586067502
97733,6,-39.38,-30.996,-4.165999999999997,2,-0.5409822549481623,-2.1057397425311586,30.64789600381219,23.50691868346013,7.140977320352061
97844,6,-43.43,-35.146,-4.150000000000002,2,-0.613413418905927,-2.178170906488923,30.385996175326845,23.57656338365158,6.8094327916752615
97956,6,-47.47,-39.260000000000005,-4.114000000000004,2,-0.6852162643329739,-2.24997375191597,30.28801079234472,23.439218228023577,6.848792564321146
98068,6,-51.69,-43.392,-4.131999999999998,2,-0.7573332690253796,-2.3220907566083757,30.320732466055453,23.08645386014995,7.234278605905505
98181,6,-55.56,-47.506,-4.113999999999997,2,-0.8291361144524262,-2.3938936020354222,30.365297638947492,23.27488210663517,7.09041553231232
