Frame,Time(ms),∠ABC,∠BCD,∠ABC_smooth,∠BCD_smooth
29,7374,12.531435265607485,3.237828499486284,12.873353954524514,3.19639441709913
30,7408,13.125525209866368,2.9615945754551376,12.87403852973261,3.2746562410266025
31,7441,12.74513610650203,3.697874504733136,12.822983977336145,3.335829135996003
32,7474,12.74513610650203,3.452855878916239,12.808594547063059,3.368960242250772
33,7508,12.849291285835221,3.5056387101503503,12.825875839573712,3.3974051673881065
34,7541,12.531435265607485,3.5056387101503503,12.805126459170742,3.4172961666603983
35,7574,12.968587199299066,2.9615945754551376,12.719257824294761,3.438249611430982
36,7608,13.125525209866368,3.206407364414048,12.678698298471573,3.3840540680179596
37,7641,12.373160034193376,3.750657335967219,12.667072743893147,3.3821406110930265
38,7674,12.373160034193376,3.5056387101503503,12.746481857088254,3.250984962044261
39,7708,12.756595529466637,3.2804784462912266,12.697435880080526,3.2667759225927453
40,7741,12.649393958224522,3.206407364414048,12.670898502757204,3.319915556110657
41,7774,13.125525209866368,2.9615945754551376,12.757872347650961,3.2562236185635562
42,7808,12.968587199299066,2.9615945754551376,12.774455654206047,3.3127194620090643
43,7841,12.150168838762426,3.973648531398169,12.784453636238016,3.3869100462062267
44,7874,13.125525209866368,3.4744234119360726,12.816354027822491,3.4771889516170154
45,7908,12.80766918963866,3.4744234119360726,12.79642207576651,3.544674155551174
46,7941,12.265899204821494,3.945186229037546,12.704408410153153,3.6738714399952688
47,7974,13.242664647975914,3.2003459632591955,12.656168619661258,3.721724539403563
48,8008,12.860076449431972,3.6715446048676768,12.649524226883116,3.66300433693731
49,8041,12.170610287929264,3.740146375810241,12.527048395303751,3.628103336066821
50,8074,12.33196906447202,3.987623007796941,12.493148051731044,3.583606802136385
51,8108,12.444687736606113,3.447657687563634,12.500934480307748,3.478753907820063
52,8141,12.716621467197484,3.1757239569722913,12.497357847342204,3.425060964328539
53,8174,12.670718403244138,2.974315296621171,12.713301546343487,3.1856246949082445
54,8208,12.601588391502673,3.466068927133392,12.909159851462748,3.0867117379791233
55,8241,13.149502073539423,2.974315296621171,12.949942397677283,3.0825297959051507
56,8274,13.307777304953532,2.974315296621171,13.000112142475414,3.156743709433746
57,8308,13.149502073539423,2.974315296621171,13.033374847017226,3.2745594829794675
58,8341,12.763427746295378,3.7135455591200923,13.066599188924979,3.3399414171395208
59,8374,12.83207717978695,3.4875148924820394,13.147116486588898,3.2939295976247847
60,8408,13.261791407280214,3.2151818981352562,13.11575818070439,3.278099786481194
61,8441,13.182402663540643,3.4242328805632383,13.074503050224493,3.2058484682347514
62,8474,13.182402663540643,2.911404044082275,13.061133230040896,3.1463857100145685
63,8508,13.351132811254331,2.7610487497331633,13.055702456448092,3.0525135729324093
64,8541,12.649393958224522,2.9615945754551376,12.960551718085284,3.0426559725682987
65,8574,12.649393958224522,3.229404786119204,12.868812368048424,2.977728936330666
66,8608,12.875001559612485,3.2693372206710194,12.821042850294162,2.9748115545858678
67,8641,12.92347140690137,2.955327337442327,12.841543613089412,3.012507542619091
68,8674,12.83207717978695,2.7292966708043025,12.91977730545986,2.8958647168177474
69,8708,13.035361476886749,2.683393606850956,12.978638204244401,2.8311287792000357
70,8741,12.92347140690137,3.2003459632591955,12.938803542352987,2.8506341924151317
71,8774,13.149502073539423,2.7292966708043025,12.836160990080973,3.0215100387304625
72,8808,12.83207717978695,2.7292966708043025,12.770315594209542,3.2159274944788088
73,8841,12.33196906447202,3.740146375810241,12.758123951837819,3.3432371863663963
74,8874,12.649393958224522,3.740146375810241,12.716198637409242,3.42630377394524
75,8908,12.649393958224522,3.740146375810241,12.66457235764647,3.500579641486342
76,8941,12.92347140690137,3.2003459632591955,12.662908220137746,3.4981847631537373
77,8974,12.92347140690137,3.2003459632591955,12.62824947407213,3.473989370241661
78,9008,12.606046513148897,3.466068927133392,12.848988110785118,3.3859803118108363
79,9041,12.606046513148897,3.466068927133392,12.961965412284869,3.279629390432924
80,9074,13.035361476886749,2.9489336427907062,13.076753037119772,3.2690735540346103
81,9108,12.92347140690137,3.7295168256939633,13.217999498733018,3.2422879857267493
