Frame,Time(ms),∠ABC,∠BCD
60,8431,166.73820859271984,176.78481810186474
61,8464,166.81759733645933,176.57576711943662
62,8497,166.81759733645933,177.08859595591778
63,8531,166.6488671887457,177.23895125026695
64,8564,167.35060604177545,177.0384054245448
65,8597,167.35060604177545,176.77059521388068
66,8631,167.12499844038754,176.73066277932907
67,8664,167.0765285930986,177.04467266255776
68,8697,167.16792282021305,177.27070332919564
69,8731,166.96463852311325,177.31660639314916
70,8764,167.0765285930986,176.7996540367408
71,8797,166.85049792646052,177.27070332919564
72,8831,167.16792282021305,177.27070332919564
73,8864,167.66803093552795,176.2598536241896
74,8897,167.35060604177545,176.2598536241896
75,8931,167.35060604177545,176.2598536241896
76,8964,167.0765285930986,176.7996540367408
77,8997,167.0765285930986,176.7996540367408
78,9031,167.3939534868511,176.53393107286658
79,9064,167.3939534868511,176.53393107286658
80,9097,166.96463852311325,177.05106635720927
81,9131,167.0765285930986,176.27048317430607
82,9164,165.6875485121887,176.80586480345795
83,9197,166.96463852311325,177.31660639314916
84,9231,166.86840203048004,176.5815656756505
85,9264,166.85049792646052,177.00516329325578
86,9297,167.55531226339392,176.53393107286658
87,9331,167.05694860240908,177.2774962876027
88,9364,166.6670057589955,177.26087880072205
89,9397,167.14530441798226,176.99743090216154
90,9431,167.14530441798226,176.981740797844
91,9464,167.14530441798226,176.99743090216154
92,9497,167.05694860240908,177.03229473385147
93,9531,167.8106724931269,176.74187595111763
94,9564,167.14530441798226,177.2427930123352
95,9597,167.37388848485307,177.03229473385147
96,9631,166.78676971590264,176.79140663117133
97,9664,166.55782330537457,177.77662158463724
98,9697,167.14530441798226,177.2427930123352
99,9731,167.37388848485307,176.25991626502088
100,9764,167.49496647185458,176.81221986221635
101,9797,167.05694860240908,176.50765590610789
102,9831,166.78676971590264,177.0390257217973
103,9864,166.39646452883176,177.53142003088584
104,9897,167.4465375185118,176.54241690489744
105,9931,166.6670057589955,177.2427930123352
106,9964,167.4465375185118,176.54241690489744
107,9997,167.28337853280252,176.29479781427142
108,10031,167.2681606122737,177.0390257217973
109,10064,166.82836453553827,176.981740797844
110,10097,166.78676971590264,177.30247362035763
111,10131,166.82836453553827,177.2427930123352
112,10164,167.05694860240908,176.7688468352909
113,10197,167.05694860240908,177.03229473385147
114,10231,167.37388848485307,176.52122774466497
115,10264,166.82836453553827,176.73623997297875
116,10297,167.05694860240908,176.52122774466497
117,10331,166.82836453553827,177.5060803544734
118,10364,167.4465375185118,177.05106635720927
119,10397,167.4835746978917,176.74187595111763
120,10431,166.85049792646052,177.00516329325578
121,10464,166.48540162143271,176.80586480345795
122,10497,166.96463852311325,177.05106635720927
123,10531,167.23657225370465,176.51584528447964
124,10564,166.96463852311325,176.80586480345795
125,10597,167.0765285930986,176.53393107286658
126,10631,167.23657225370465,176.53393107286658
127,10664,167.0765285930986,176.53393107286658
128,10697,167.0765285930986,176.53393107286658
129,10731,167.0765285930986,176.7996540367408
130,10764,167.35060604177545,176.2598536241896
131,10797,167.35060604177545,176.2598536241896
132,10831,167.66803093552795,176.2598536241896
133,10864,167.66803093552795,176.2598536241896
134,10897,166.85049792646052,177.27070332919564
135,10931,166.69222269504644,177.02568470337863
136,10964,167.3939534868511,176.7996540367408
137,10997,167.3939534868511,176.7996540367408
138,11031,166.69222269504644,177.02568470337863
139,11064,166.96672320897343,176.73066277932907
140,11097,167.0765285930986,177.31248287322194
141,11131,167.35060604177545,176.77059521388068
142,11164,166.6488671887457,177.23895125026695
143,11197,166.8744747901336,177.0384054245448
144,11231,166.8744747901336,176.52557658806393
145,11264,166.7573353520241,176.7996540367408
146,11297,166.86840203048004,176.8472886395247
147,11331,167.35060604177545,176.52557658806393
148,11364,166.8744747901336,176.77059521388068
149,11397,166.66026584087908,176.57576711943662
150,11431,167.41356517473793,176.78989255608192
