Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,Frame,∠ABC,∠BCD,∠ABC_smooth,∠BCD_smooth
81216,2,Flex,<<,-1996,-183.03,372,299,743,2244,47.93951928387392,30.35129113423514,47.695800859144256,30.109974460858055
81327,2,Flex,<<,-1932,-177.41,370,298,732,2248,47.732639921254105,30.840672340074462,48.22450286166381,30.75494652372329
81438,2,Flex,<<,-1868,-171.87,371,299,726,2251,49.27041228791575,31.428683678048486,48.94696359658299,31.70699009374389
81549,2,Flex,<<,-1804,-166.07,370,299,716,2254,50.59779780548996,32.844212244799934,50.58756317314246,32.75937995869536
81660,2,Flex,<<,-1740,-160.53,370,299,710,2258,51.91599833799276,34.20581846805052,52.12018164912885,34.2627128653894
81772,2,Flex,<<,-1676,-154.9,371,299,699,2261,53.508609007352916,35.549929541662976,53.187798656542306,35.34474105194282
81883,2,Flex,<<,-1612,-149.19,370,301,691,2264,53.68106151418401,36.70720301587872,54.31432343320242,36.32159249383383
81994,2,Flex,<<,-1548,-143.65,368,299,682,2268,55.63884421128927,37.1168019509571,55.46117027385098,37.268733337787914
82105,2,Flex,<<,-1484,-137.93,370,300,675,2271,56.61538093542235,37.69217714185703,56.49619263353485,37.67860039049941
82218,2,Flex,<<,-1420,-132.31,370,300,665,2274,57.77658518737559,38.08924422520337,57.45474053099653,38.66251136370367
82330,2,Flex,<<,-1356,-126.77,370,299,658,2278,59.11059089908804,39.66732132029176,59.46292797666855,40.014402505583185
82440,2,Flex,<<,-1292,-121.05,371,299,649,2281,59.68309081713279,40.184970223537334,60.317639628110484,40.37021857174301
82551,2,Flex,<<,-1228,-115.34,371,299,645,2284,60.64031676494406,41.003981300965165,60.49298633128576,40.94910389227454
82662,2,Flex,<<,-1164,-109.8,370,298,638,2288,61.14774332844989,41.32390580078754,61.28019736104802,41.500774103615015
82773,2,Flex,<<,-1100,-104.09,370,299,629,2291,62.1952957141592,41.54919639164214,61.97426703087832,41.465937307412986
82885,2,Flex,<<,-1036,-98.46,370,299,626,2294,62.45357217630033,41.355007140742316,62.66004254277287,41.04813650074599
82996,2,Flex,<<,-972,-92.84,369,297,614,2298,63.098268200462286,40.94177598251753,63.3584590260333,40.80930845454066
83108,2,Flex,<<,-908,-87.38,371,299,606,2301,63.605677896196966,41.23089662483096,63.80313087054891,40.777591848338915
83219,2,Flex,<<,-844,-81.67,371,299,603,2304,64.27247633927408,40.98357684390223,64.38397550632678,40.762607798836015
83330,2,Flex,<<,-780,-76.04,370,299,598,2308,64.51079944371327,41.02772558531882,64.49152038219279,41.351532486509335
83441,2,Flex,<<,-716,-70.42,370,299,595,2311,65.19854219762847,41.32821549862089,64.57149500321239,41.4518300238235
83552,2,Flex,<<,-652,-64.79,369,299,595,2314,65.85445803957835,40.7164931273355,65.21048605895605,40.83832026525655
83663,2,Flex,<<,-588,-59.08,370,296,591,2318,65.01549697865318,40.589004688197434,65.59277995181026,40.40833559796527
83775,2,Flex,<<,-524,-53.45,371,298,584,2321,65.43952302091391,40.743475074253865,65.5453438303272,40.5460632701142
83886,2,Flex,<<,-460,-47.91,372,299,574,2324,65.43952302091391,40.56416173614198,65.38811954655208,40.727373986742215
83999,2,Flex,<<,-396,-42.29,370,298,569,2328,66.02358017313595,40.26843195946941,65.64310004631906,40.62593540309799
84110,2,Flex,<<,-332,-36.75,370,298,563,2331,65.07806585357122,41.02772558531882,65.32489925386682,40.954574564168624
84222,2,Flex,<<,-268,-31.03,370,298,559,2334,64.59093080174095,41.71376522277765,64.74115141727107,41.3503036799149
84334,2,Flex,<<,-204,-25.41,369,299,557,2338,64.28874608123455,41.49542684100942,63.959553426550144,41.856396095301086
84445,2,Flex,<<,-140,-19.78,371,299,554,2341,62.92985542428838,42.828585862179665,62.96903299576871,42.80951359160919
84557,2,Flex,<<,-76,-14.15,368,298,553,2344,62.168708666494496,42.79740183823418,62.1076900845403,43.08508878462558
84668,2,Flex,<<,-12,-8.53,371,298,551,2348,60.83875671095275,42.27368900609375,60.5484130921739,42.330602546266086
84779,2,Flex,<<,52,-2.9,369,298,552,2351,59.87720943289932,41.10055492503531,59.21707214694389,41.58834269009421
84891,2,Flex,<<,116,2.73,371,299,555,2354,58.08437828689391,41.25794934531379,58.17774649689214,40.92738609313528
