Frame,Time(ms),ABC_signed(deg),BCD_signed(deg),∠ABC,∠BCD,∠ABC_smooth,∠BCD_smooth
24,1304,-162.85351225244148,-172.74821139950492,17.146487747558524,7.251788600495075,17.80898395979081,6.697750914415115
25,1337,-162.07941464996844,-173.38825047555684,17.92058535003156,6.611749524443155,17.82634770008142,6.605308258687529
26,1370,-162.21955456498986,-173.3762450975556,17.780445435010137,6.623754902444404,17.756866667480082,6.571061166744051
27,1404,-162.07941464996844,-173.69284003207738,17.92058535003156,6.307159967922615,17.770906360864405,6.516113917272967
28,1437,-162.21955456498986,-173.55270011705596,17.780445435010137,6.447299882944037,17.71364247761981,6.576923843076427
29,1470,-162.25055690763958,-173.55270011705596,17.749443092360423,6.447299882944037,17.760307279026094,6.50976047089617
30,1504,-162.25055690763958,-173.55270011705596,17.749443092360423,6.447299882944037,17.667035228894598,6.5830647051582
31,1537,-162.5729228581134,-172.92574461006163,17.4270771418866,7.074255389938372,17.64903751877889,6.611960775320242
32,1570,-162.5419205154637,-173.23033416658214,17.458079484536313,6.769665833417861,17.66125935712607,6.656621883576253
33,1604,-162.04874786636003,-173.69284003207738,17.95125213363997,6.307159967922615,17.751231799729943,6.517260825050933
34,1637,-162.21955456498986,-173.55270011705596,17.780445435010137,6.447299882944037,17.7594863040349,6.48866051276303
35,1670,-162.21955456498986,-173.55270011705596,17.780445435010137,6.447299882944037,17.763898370606803,6.429022496368795
36,1704,-162.04874786636003,-173.69284003207738,17.95125213363997,6.307159967922615,17.767630055550157,6.316053477769103
37,1737,-162.216942273042,-174.0091523739376,17.783057726957992,5.99084762606239,17.726153190297353,6.33176060713666
38,1770,-162.7148552634687,-173.0644015990344,17.285144736531294,6.935598400965603,17.608615913249384,6.433836303673372
39,1804,-162.39100638694626,-173.69284003207738,17.60899361305374,6.307159967922615,17.630387133116393,6.412812550504203
40,1837,-162.39100638694626,-173.69284003207738,17.60899361305374,6.307159967922615,17.58652061161256,6.4822680595385584
41,1870,-162.35867146862338,-173.38825047555684,17.641328531376615,6.611749524443155,17.476453853094455,6.571369182843326
42,1904,-162.53114630196765,-173.24811056053545,17.468853698032348,6.751889439464549,17.51410047266109,6.607347628484748
43,1937,-162.21034461784632,-173.69704678167693,17.789655382153683,6.3029532183230685,17.557556140841537,6.557875689100717
44,1970,-162.84238464075574,-173.07057734997878,17.15761535924426,6.929422650021223,17.49562991643149,6.662286857812626
45,2004,-162.70224472573435,-173.38825047555684,17.297755274265654,6.611749524443155,17.509474802442618,6.655335910111914
46,2037,-162.03641179084275,-173.53297694278078,17.96358820915725,6.467023057219222,17.53397847982007,6.549802523585688
47,2070,-162.5215829566344,-173.39137903410014,17.478417043365596,6.60862096589986,17.56087360931838,6.5539892623855955
48,2104,-162.5215829566344,-173.39137903410014,17.478417043365596,6.60862096589986,17.546656825631025,6.565335509446966
49,2137,-162.2023541476263,-173.71060784310822,17.797645852373705,6.289392156891779,17.705076820694067,6.390163503797794
50,2170,-162.37998504795374,-173.71051015333745,17.62001495204626,6.289489846662548,17.74505895348374,6.383733142921711
51,2204,-162.37998504795374,-173.22920757315916,17.62001495204626,6.770792426840842,17.73858965095497,6.346939839446544
52,2237,-162.20279191701593,-173.85370591123262,17.79720808298407,6.146294088767377,17.80763432885732,6.376859585217144
53,2270,-161.74808479974337,-174.03117206275974,18.251915200256633,5.968827937240263,17.798559573201125,6.402819103402044
54,2304,-162.37998504795374,-173.22920757315916,17.62001495204626,6.770792426840842,17.75805040852644,6.494353116961012
55,2337,-162.37998504795374,-173.53297694278078,17.62001495204626,6.467023057219222,17.76749966596757,6.443414168782109
56,2370,-162.37998504795374,-173.22920757315916,17.62001495204626,6.770792426840842,17.703391158059063,6.390505281239575
