Time(ms),SensorA0,SensorA1,SensorA2
171355,324,286,353
171369,320,283,349
171450,319,282,353
171464,319,282,353
171479,318,280,348
171560,313,279,350
171574,315,280,353
171589,315,280,350
171669,316,280,352
171684,313,280,351
171698,309,277,350
171779,308,277,351
171794,311,279,351
171808,307,275,349
171889,307,276,352
171903,306,276,351
171918,307,273,347
171999,308,276,353
172013,308,275,348
172028,303,275,349
172109,303,273,349
172123,306,274,349
172138,301,271,348
172218,303,274,350
172233,303,272,348
172247,299,272,347
172328,300,273,350
172343,299,272,349
172357,301,268,342
172438,303,272,348
172452,301,271,348
172467,302,269,345
172548,301,271,350
172562,300,269,347
172577,293,267,346
172657,297,268,349
172672,301,270,349
172687,298,266,347
172768,300,269,351
172782,301,270,348
172797,298,268,348
172878,300,267,349
172892,302,269,349
172907,299,267,349
172987,303,268,346
173002,300,266,349
173017,299,266,348
173097,298,267,349
173112,298,265,347
173126,295,262,342
173207,296,264,348
173221,297,265,346
173236,294,263,345
173317,296,265,349
173331,295,264,348
173346,294,261,344
173426,295,264,352
173441,293,263,348
173455,293,261,345
173536,295,266,348
173551,293,263,348
173565,292,261,345
173646,298,264,353
173660,297,266,353
173675,299,264,352
173756,302,267,355
173770,299,266,357
173785,304,272,362
173866,306,273,362
173880,304,273,361
173895,306,275,365
173975,305,273,363
173990,307,274,364
174005,307,273,364
174085,308,273,366
174100,307,273,364
174114,306,274,363
174195,306,273,365
174210,306,273,364
174224,306,273,365
174305,307,275,363
174319,307,272,364
174334,305,272,364
174414,307,276,363
174429,305,274,363
174444,307,273,363
174524,307,275,358
174539,308,275,360
174553,306,275,361
174634,309,276,361
174648,307,274,361
174663,307,275,360
174743,309,278,362
174758,308,276,360
174772,310,275,358
174853,310,277,360
174868,308,276,361
174882,307,276,363
174963,309,276,360
174977,309,278,360
174992,307,278,359
175072,308,279,358
175087,307,278,359
175102,307,279,358
175182,308,277,360
175197,307,278,358
175211,306,279,358
175292,308,279,360
175307,308,279,360
175321,308,281,360
175402,309,281,360
175416,309,281,359
175431,307,279,359
175512,309,282,359
175526,310,281,358
175541,307,281,358
175621,310,282,359
175636,309,283,359
175650,309,282,360
175731,310,285,359
175746,310,283,361
175760,310,286,360
175841,310,285,362
175856,309,285,361
175870,311,285,359
175951,311,289,362
175965,312,288,361
175980,311,291,362
176060,310,290,365
176075,312,293,365
176090,312,293,368
176170,314,294,369
176185,313,295,367
176199,314,294,368
176280,317,297,373
176294,318,297,371
176309,318,298,373
176390,321,301,375
176405,321,298,375
176419,321,300,375
176500,323,302,380
176515,321,300,379
176530,322,302,379
176610,323,303,382
176625,323,302,384
176640,323,303,383
176720,327,303,390
176735,325,304,387
176749,324,302,388
176830,326,305,390
176844,326,304,390
176859,326,304,392
176940,327,306,392
176954,329,306,393
176969,328,305,391
177049,331,307,400
177064,329,306,400
177078,329,308,398
177159,330,307,403
177173,331,307,403
177188,329,304,403
177268,331,308,407
177283,331,306,404
177298,332,305,405
177378,331,308,420
177393,334,309,424
177407,331,307,427
177488,331,311,433
177502,332,309,433
177517,334,312,434
177597,333,310,435
177612,332,312,434
177626,332,311,432
177707,333,310,435
177721,334,312,442
177736,331,311,451
177817,333,318,464
177831,333,316,464
177846,333,315,460
177926,334,318,462
177941,335,316,460
177955,333,315,459
178036,333,314,460
178050,332,315,461
178065,334,313,458
178146,334,316,462
178160,335,314,462
178175,330,314,463
178255,334,317,466
178270,333,314,466
178284,331,315,467
178365,333,314,466
178379,334,316,464
178394,333,314,465
178474,333,316,468
178489,335,315,467
178503,333,314,466
178584,335,316,469
178598,334,316,467
178613,333,313,469
178693,334,316,474
178708,334,313,473
178722,334,314,474
178803,333,314,477
178817,334,314,476
178832,334,315,474
178912,334,318,476
178927,334,317,473
178941,335,313,474
179022,335,321,474
179036,333,317,472
179051,332,313,473
179131,334,321,471
179145,334,316,471
179160,334,317,471
179240,334,319,474
179255,335,319,472
179270,335,313,470
179350,334,318,472
179365,333,318,473
179379,334,317,472
179460,335,318,472
179474,335,318,472
179489,334,317,470
179569,335,319,473
179584,334,317,471
179598,333,317,470
179679,336,318,472
179693,334,318,472
179708,333,319,471
179788,335,319,472
179803,335,319,472
179817,333,316,472
179898,333,318,471
179912,334,317,471
179927,332,317,469
180007,334,319,472
180022,336,316,471
180036,335,318,472
180117,336,318,471
180131,334,317,472
180146,332,317,470
180226,337,318,471
180241,335,319,472
180256,334,319,471
182603,335,322,472
182618,337,321,472
182632,336,321,472
182713,335,319,470
182727,333,317,468
182742,333,314,465
182822,335,320,467
182837,334,318,466
182851,333,317,465
182931,334,320,468
182946,331,316,465
182960,330,315,465
183041,333,321,469
183056,334,318,467
183070,331,317,464
183150,336,319,468
183165,332,317,465
183179,330,316,464
183260,335,318,468
183275,333,319,466
183289,329,314,465
183370,333,319,467
183384,333,317,465
183399,330,317,462
183479,335,319,464
183494,333,318,464
183508,331,317,465
183589,335,319,466
183604,331,317,467
183618,331,315,464
183699,334,321,468
183713,333,316,465
183728,329,309,464
183808,335,318,465
183823,332,316,464
183837,332,317,464
183918,334,319,467
183932,334,317,464
183947,332,313,462
184027,336,320,466
184042,334,316,464
184056,332,314,463
184137,335,316,468
184151,332,316,466
184166,332,315,461
184246,337,316,468
184261,334,318,464
184276,334,317,462
184356,337,319,466
184371,335,314,465
184385,335,312,462
184466,339,317,466
184481,339,314,464
184495,337,317,464
184576,341,318,469
184590,340,317,468
184605,339,314,464
184685,344,319,470
184700,345,316,467
184715,343,316,467
184795,349,320,471
184810,349,317,468
184824,349,314,466
184905,356,316,474
184920,356,316,470
184934,355,316,470
185015,363,319,473
185030,364,319,473
185044,361,316,469
185125,373,324,476
185139,370,321,477
185154,369,321,472
185234,377,321,484
185249,378,325,482
185264,376,326,479
185345,383,330,488
185359,379,329,486
185374,377,327,483
185454,386,333,491
185469,384,332,487
185483,381,326,486
185564,390,337,496
185578,389,336,493
185593,387,332,490
185674,395,341,499
185688,391,338,497
185703,391,338,493
185783,398,346,500
185798,392,344,501
185812,391,339,496
185893,401,353,509
185907,402,351,505
185922,396,350,505
186002,411,359,517
186017,409,356,516
186031,414,355,515
186112,421,369,529
186126,418,367,527
186141,418,367,525
186222,425,379,540
186236,420,374,536
186251,419,374,531
186331,424,386,548
186346,424,386,545
186360,422,383,542
186441,431,407,566
186455,426,400,564
186470,426,401,557
186551,439,408,571
186565,438,406,571
186580,437,404,567
186660,446,411,574
186675,442,409,570
186691,440,406,567
186771,447,421,581
186786,444,419,583
186800,442,418,578
186881,452,435,597
186895,448,434,595
186910,445,430,593
186990,456,441,604
187005,451,440,600
187020,449,438,599
187100,457,448,610
187115,458,451,609
187129,452,447,607
187210,460,460,623
187224,459,459,618
187239,455,457,618
187320,462,470,630
187334,460,469,629
187349,456,466,626
187429,471,485,641
187443,466,476,637
187458,466,479,637
187539,478,496,656
187553,473,488,648
187568,474,488,645
187648,484,502,663
187663,478,496,660
187677,480,500,658
187758,490,515,676
187772,489,513,674
187787,484,510,666
187867,501,524,688
187882,494,521,683
187896,491,518,683
187977,506,536,695
187991,503,529,690
188006,499,528,688
188087,515,542,703
188101,513,539,696
188116,507,535,697
188196,521,547,710
188211,516,544,707
188225,517,545,706
188306,525,552,713
188321,523,548,709
188335,523,545,707
188416,538,561,720
188431,534,560,722
188445,531,552,714
188526,546,566,728
188540,543,565,728
188555,537,560,720
188636,554,574,735
188650,551,567,732
188665,545,565,724
188745,557,573,734
188760,550,570,728
188774,548,568,724
188855,564,573,735
188869,555,572,734
188884,552,568,722
188964,564,578,736
188979,560,573,732
188993,554,570,727
189074,567,582,743
189089,561,575,734
189103,556,571,734
189184,565,582,741
189198,559,579,739
189213,555,576,736
189294,575,595,758
189308,574,594,755
189323,575,594,760
189404,577,597,769
189418,587,609,785
189433,588,609,786
189513,593,612,787
189528,594,613,790
189542,590,611,788
189623,588,607,784
189637,585,604,777
189652,583,603,780
189732,582,600,776
189747,583,602,773
189761,578,598,770
189842,580,600,772
189856,574,594,767
189871,572,591,768
189952,569,591,763
189966,568,591,760
189981,563,586,756
190061,563,586,757
190076,559,580,755
190091,557,582,753
190171,554,580,752
190185,552,577,747
190200,546,573,743
190281,542,572,742
190295,540,569,738
190310,537,568,738
190390,535,565,737
190405,533,565,732
190419,529,563,731
190500,526,561,726
190514,525,559,723
190529,522,560,723
190609,519,557,721
190624,516,545,715
190639,514,551,713
190719,514,553,715
190734,510,548,713
190748,509,547,709
190829,510,546,709
190843,505,545,705
190858,502,541,701
190938,501,537,700
190953,497,537,696
190967,497,535,693
191048,498,531,687
191063,494,528,686
191077,491,527,685
191158,492,524,683
191172,487,517,678
191187,486,516,675
191268,490,516,677
191282,485,510,670
191297,482,507,671
191377,486,505,669
191392,483,503,665
191406,482,499,664
191487,482,497,665
191502,478,493,662
191517,479,496,660
191597,481,490,661
191612,478,487,657
191627,476,486,659
191707,481,485,657
191722,476,481,653
191737,472,481,650
191817,475,479,650
191832,473,476,648
191846,472,475,646
191927,476,472,647
191941,471,469,642
191956,470,466,642
192036,473,464,638
192051,470,462,636
192066,469,459,633
192146,469,460,634
192161,468,456,630
192175,466,456,629
192256,467,455,631
192271,466,451,628
192285,463,447,627
192366,468,452,627
192381,464,450,625
192396,465,447,622
192476,465,448,621
192491,464,446,618
192506,461,445,615
192586,465,443,614
192601,463,439,605
192615,461,441,609
192696,464,439,611
192710,461,439,605
192725,457,433,601
192805,463,434,598
192820,458,431,594
192834,459,430,593
192915,458,432,593
192929,458,429,592
192944,456,426,588
193025,459,431,591
193039,459,428,589
193054,455,428,588
193134,459,429,589
193149,457,426,588
193163,455,424,589
193244,458,423,586
193258,458,421,580
193273,454,419,579
193354,457,421,583
193368,453,419,580
193383,455,419,580
193463,458,422,582
193478,454,417,579
193493,454,420,579
193574,456,420,583
193588,455,418,576
193603,454,416,577
193683,457,421,583
193698,452,420,578
193712,452,415,579
193793,458,420,582
193807,455,418,578
193822,451,416,578
193903,454,422,582
193917,453,417,579
193932,451,416,576
194012,457,421,581
194027,455,416,578
194041,450,419,578
194122,453,419,582
194136,451,418,577
194151,451,416,579
194231,455,420,581
194246,455,418,578
194260,452,416,579
194341,453,418,576
194356,450,417,580
194370,451,416,578
194451,453,420,583
194465,450,417,577
194480,450,414,574
194560,451,417,580
194575,451,416,580
194589,451,415,574
194669,452,418,581
194684,449,417,579
194698,450,415,579
194779,453,418,581
194794,451,415,576
194808,448,415,579
194888,449,419,580
194903,448,416,579
194917,446,415,576
194998,451,417,581
195012,449,417,578
195027,449,413,576
195108,452,419,578
195122,448,417,579
195136,446,415,577
195217,449,418,581
195232,448,414,577
195246,447,414,578
195327,453,418,581
195341,448,415,578
195356,449,415,577
195436,450,417,581
195451,451,414,578
195465,445,411,577
195546,453,417,581
195560,448,416,580
195575,447,412,574
195656,452,418,581
195670,447,412,578
195685,446,413,575
195765,450,414,580
195780,449,413,579
195794,448,416,579
195875,449,414,582
195889,450,413,578
195904,447,413,577
197251,451,417,583
197266,452,416,582
197281,453,418,582
197362,451,415,580
197377,448,417,578
197392,447,413,577
197474,451,413,579
197489,447,414,577
197504,448,411,577
197585,448,413,577
197600,444,413,580
197614,448,414,579
197695,451,414,578
197710,448,414,577
197725,445,411,578
197806,448,413,580
197821,449,414,578
197836,448,412,576
197917,451,416,578
197933,447,408,578
197948,448,412,575
198029,451,414,577
198044,447,413,576
198059,446,410,575
198140,447,413,577
198155,447,414,577
198170,447,409,573
198251,448,409,576
198267,446,410,573
198282,444,411,573
198363,445,409,572
198378,447,412,569
198393,443,409,569
198474,441,411,570
198489,442,409,567
198504,438,408,566
198586,433,409,565
198601,432,408,563
198616,430,408,562
198698,429,408,561
198713,427,406,561
198727,427,407,552
198808,426,405,555
198823,424,408,554
198839,422,404,551
198919,422,407,550
198934,420,405,549
198949,417,401,545
199030,416,405,544
199046,416,405,542
199061,414,403,540
199142,413,401,540
199157,414,402,539
199172,412,399,536
199253,413,404,538
199268,411,405,535
199284,408,400,535
199365,409,403,532
199380,405,401,530
199395,404,398,528
199476,402,400,528
199491,405,400,526
199506,401,397,524
199586,401,400,520
199601,404,399,517
199616,402,397,515
199697,401,397,513
199712,399,397,513
199727,401,397,504
199807,399,396,503
199822,398,392,497
199838,398,393,495
199918,400,391,488
199934,396,391,486
199949,393,388,480
200030,394,391,474
200045,392,387,470
200060,393,387,465
200142,390,386,456
200157,389,383,454
200172,386,381,450
200254,386,382,442
200269,385,378,444
200284,385,377,438
200365,383,376,435
200380,382,375,436
200395,379,374,432
200477,380,367,424
200492,379,367,426
