Time(ms),MotorID,SensorA2,θ_total,cycle
76011,3,558,22.8371942797914,2
76122,3,572,22.769252623978943,2
76233,3,584,22.773618280127167,2
76344,3,597,22.888245357595277,2
76455,3,603,22.96016263773344,2
76566,3,611,23.110831456107526,2
76677,3,624,23.0238559321241,2
76788,3,642,23.085006040482114,2
76899,3,652,22.925377778996086,2
77009,3,657,22.636549079687164,2
77120,3,664,22.59098620228952,2
77231,3,664,22.55666639601314,2
77344,3,670,22.490498549794886,2
77455,3,676,22.47366913123569,2
77566,3,684,22.584110888860106,2
77677,3,691,22.68077134563395,2
77789,3,691,22.7099452732647,2
77900,3,697,22.729705261534857,2
78011,3,705,22.697602914313663,2
78121,3,719,22.879201011945145,2
78233,3,724,22.933886803153094,2
78344,3,731,22.727023978957124,2
78454,3,734,22.620282298527037,2
78565,3,745,22.835792477492845,2
78676,3,747,23.03168284725151,2
78785,3,765,22.972983344464673,2
78897,3,762,23.21744732381942,2
79009,3,772,23.53100691283632,2
79120,3,772,23.87356160444464,2
79231,3,774,24.527326454220102,2
79343,3,776,28.137587075055876,2
79454,3,771,31.845354120631413,2
79566,3,772,34.606368936596404,2
79678,3,769,38.53446475394428,2
79789,3,776,41.27232163676926,2
79900,3,769,42.98018890923537,2
80011,3,785,45.22727306922552,2
80122,3,804,47.54527371576735,2
80233,3,795,49.79021844724643,2
80344,3,792,51.817092712520136,2
104268,3,489,28.11006593269256,3
