Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABD_smooth,angle_smooth,dmotor,cycle
16869,1,Flex,>>,1356,126.42,582,457,691,43.546457154706914,133.048,-3.288000000000011,0
16979,1,Flex,>>,1317,123.08,585,466,697,42.13548111234296,129.76000000000002,-3.2879999999999825,0
17089,1,Flex,>>,1278,119.74,587,473,700,40.37456688527924,126.45599999999999,-3.3040000000000305,0
17199,1,Flex,>>,1239,116.66,584,479,710,39.23380438927042,123.15,-3.305999999999983,0
17309,1,Flex,>>,1200,113.58,583,481,712,38.11467186865001,119.896,-3.254000000000005,0
17419,1,Flex,>>,1161,110.42,585,487,714,37.27956651345298,116.696,-3.200000000000003,0
17529,1,Flex,>>,1122,106.99,590,490,719,36.82282588350839,113.478,-3.2180000000000035,0
17640,1,Flex,>>,1083,103.56,584,491,720,36.44226195201971,110.242,-3.23599999999999,0
17750,1,Flex,>>,1044,100.31,589,515,724,36.14806548837917,106.97200000000001,-3.269999999999996,0
17861,1,Flex,>>,1005,97.05,578,511,723,35.70365596706436,103.66600000000001,-3.3059999999999974,0
17971,1,Flex,>>,966,93.98,581,512,726,35.165527059224054,100.378,-3.288000000000011,0
18081,1,Flex,>>,927,90.9,583,519,729,34.7249599117628,97.16,-3.2180000000000035,0
18191,1,Flex,>>,888,87.65,580,517,727,34.53688369938348,93.97800000000001,-3.181999999999988,0
18301,1,Flex,>>,849,84.31,585,520,732,34.30292497940272,90.778,-3.200000000000003,0
18410,1,Flex,>>,810,80.88,592,521,731,33.95403643712918,87.54400000000001,-3.2339999999999947,0
18522,1,Flex,>>,771,77.54,598,525,736,33.62535492900776,84.256,-3.288000000000011,0
18633,1,Flex,>>,732,74.46,600,529,741,33.42659912461699,80.96799999999999,-3.288000000000011,0
18743,1,Flex,>>,693,71.38,604,531,742,33.29186294482378,77.714,-3.2539999999999907,0
18854,1,Flex,>>,654,68.31,606,537,740,32.83539736952759,74.514,-3.200000000000003,0
18964,1,Flex,>>,615,65.23,604,532,740,32.714989902188805,71.384,-3.1299999999999955,0
19074,1,Flex,>>,576,62.24,606,542,746,32.96368163679294,68.324,-3.0600000000000023,0
