Time(ms),MotorID,angle_smooth,dmotor,cycle,L_cm,L_rel_cm,SensorA2
48228,3,-251.14600000000002,-5.608000000000004,1,-4.383324603213679,-4.475059108698501,732
48338,3,-256.738,-5.5919999999999845,1,-4.4809234149852015,-4.572657920470023,739
48450,3,-262.364,-5.625999999999976,1,-4.579115638702403,-4.6708501441872246,739
48560,3,-267.974,-5.610000000000014,1,-4.677028609739285,-4.768763115224107,751
48669,3,-273.584,-5.610000000000014,1,-4.774941580776167,-4.866676086260989,747
48779,3,-279.21,-5.625999999999976,1,-4.873133804493367,-4.964868309978189,757
48889,3,-284.81800000000004,-5.608000000000061,1,-4.97101186894521,-5.062746374430032,754
48999,3,-290.444,-5.625999999999976,1,-5.069204092662411,-5.160938598147233,755
49110,3,-296.07,-5.625999999999976,1,-5.1673963163796115,-5.259130821864433,761
49221,3,-301.65999999999997,-5.589999999999975,1,-5.264960221566094,-5.3566947270509155,767
49330,3,-307.28599999999994,-5.625999999999976,1,-5.363152445283294,-5.454886950768116,763
49441,3,-312.89399999999995,-5.608000000000004,1,-5.461030509735137,-5.552765015219959,764
49550,3,-318.398,-5.504000000000076,1,-5.557093431764906,-5.648827937249727,777
49660,3,-323.162,-4.763999999999953,1,-5.640240917329915,-5.731975422814736,794
49770,3,-326.854,-3.6920000000000073,1,-5.704678473313546,-5.796412978798368,788
49880,3,-328.454,-1.6000000000000227,1,-5.732603741345455,-5.824338246830277,786
73676,3,5.220000000000001,-1.5300000000000011,2,0.09110618695410401,0.0,451
73787,3,1.0360000000000007,-4.184,2,0.018081611050661268,-0.07302457590344275,450
73898,3,-4.308,-5.344,2,-0.07518878417591571,-0.16629497113001973,452
74009,3,-10.057999999999998,-5.749999999999998,2,-0.17554521616558963,-0.26665140311969365,451
74122,3,-15.841999999999999,-5.784000000000001,2,-0.27649506010094166,-0.36760124705504565,454
74233,3,-21.589999999999996,-5.7479999999999976,2,-0.3768165855055757,-0.46792277245967967,452
74343,3,-27.339999999999996,-5.75,2,-0.47717301749524965,-0.5682792044493536,449
74455,3,-33.071999999999996,-5.731999999999999,2,-0.5772152902195646,-0.6683214771736686,450
74566,3,-38.803999999999995,-5.731999999999999,2,-0.6772575629438795,-0.7683637498979835,450
74678,3,-44.49999999999999,-5.695999999999998,2,-0.7766715171374765,-0.8677777040915805,449
74789,3,-50.25,-5.750000000000007,2,-0.8770279491271507,-0.9681341360812546,448
74899,3,-55.98199999999999,-5.731999999999992,2,-0.9770702218514654,-1.0681764088055694,451
75010,3,-61.732000000000006,-5.750000000000014,2,-1.0774266538411397,-1.1685328407952438,452
75121,3,-67.464,-5.731999999999992,2,-1.1774689265654545,-1.2685751135195587,454
75233,3,-73.21400000000001,-5.750000000000014,2,-1.2778253585551287,-1.3689315455092328,455
75344,3,-78.928,-5.713999999999984,2,-1.3775534720140843,-1.4686596589681884,475
75455,3,-84.678,-5.75,2,-1.4779099040037584,-1.5690160909578625,501
75566,3,-90.462,-5.784000000000006,2,-1.5788597479391104,-1.6699659348932145,516
75676,3,-96.264,-5.8019999999999925,2,-1.6801237511398213,-1.7712299380939254,533
75788,3,-102.066,-5.802000000000007,2,-1.7813877543405325,-1.8724939412946366,544
75899,3,-107.88600000000001,-5.820000000000007,2,-1.8829659168066026,-1.9740721037607067,557
76011,3,-113.72200000000001,-5.8359999999999985,2,-1.9848233319529915,-2.0759295189070954,558
76122,3,-119.508,-5.785999999999987,2,-2.0858080824733833,-2.1769142694274874,572
76233,3,-125.274,-5.766000000000005,2,-2.1864437671433765,-2.2775499540974806,584
76344,3,-131.07600000000002,-5.802000000000021,2,-2.287707770344088,-2.378813957298192,597
76455,3,-136.86200000000002,-5.786000000000001,2,-2.38869252086448,-2.479798707818584,603
76566,3,-142.63000000000002,-5.768000000000001,2,-2.4893631121195128,-2.580469299073617,611
76677,3,-148.378,-5.747999999999962,2,-2.589684637524146,-2.68079082447825,624
76788,3,-154.14600000000002,-5.768000000000029,2,-2.6903552287791794,-2.7814614157332835,642
76899,3,-159.89600000000002,-5.75,2,-2.7907116607688534,-2.8818178477229575,652
77009,3,-165.60999999999999,-5.71399999999997,2,-2.8904397742278087,-2.981545961181913,657
77120,3,-171.34199999999998,-5.731999999999999,2,-2.990482046952124,-3.081588233906228,664
77231,3,-177.058,-5.716000000000008,2,-3.0902450669961197,-3.181351253950224,664
77344,3,-182.73600000000002,-5.678000000000026,2,-3.1893448619243583,-3.2804510488784624,670
77455,3,-188.414,-5.677999999999969,2,-3.288444656852596,-3.3795508438067,676
77566,3,-194.11,-5.696000000000026,2,-3.3878586110461932,-3.4789647980002973,684
77677,3,-199.80599999999998,-5.6959999999999695,2,-3.48727256523979,-3.578378752193894,691
77789,3,-205.554,-5.748000000000019,2,-3.587594090644424,-3.6787002775985282,691
77900,3,-211.28599999999997,-5.731999999999971,2,-3.6876363633687386,-3.7787425503228427,697
78011,3,-217.01799999999997,-5.731999999999999,2,-3.7876786360930534,-3.8787848230471575,705
78121,3,-222.78599999999997,-5.768000000000001,2,-3.8883492273480864,-3.9794554143021905,719
78233,3,-228.5,-5.714000000000027,2,-3.988077340807043,-4.079183527761147,724
78344,3,-234.198,-5.6980000000000075,2,-4.08752620158568,-4.178632388539784,731
78454,3,-239.91199999999998,-5.71399999999997,2,-4.187254315044635,-4.278360501998739,734
78565,3,-245.60999999999999,-5.6980000000000075,2,-4.2867031758232725,-4.377809362777376,745
78676,3,-251.26999999999998,-5.659999999999997,2,-4.385488811486152,-4.476594998440255,747
78785,3,-256.914,-5.6440000000000055,2,-4.4839951944687115,-4.575101381422815,765
78897,3,-262.57399999999996,-5.659999999999968,2,-4.58278083013159,-4.673887017085693,762
79009,3,-268.21799999999996,-5.6440000000000055,2,-4.6812872131141505,-4.772393400068254,772
79120,3,-273.808,-5.590000000000032,2,-4.778851118300634,-4.869957305254737,772
79231,3,-279.418,-5.610000000000014,2,-4.876764089337516,-4.967870276291619,774
79343,3,-285.044,-5.625999999999976,2,-4.974956313054716,-5.06606250000882,776
79454,3,-290.636,-5.592000000000041,2,-5.07255512482624,-5.163661311780344,771
79566,3,-296.192,-5.555999999999983,2,-5.169525618067045,-5.2606318050211485,772
79678,3,-301.74799999999993,-5.555999999999926,2,-5.266496111307848,-5.357602298261952,769
79789,3,-307.322,-5.574000000000069,2,-5.363780763814013,-5.454886950768117,776
79900,3,-312.844,-5.521999999999991,2,-5.460157845109141,-5.551264032063244,769
80011,3,-318.33,-5.48599999999999,2,-5.555906607873549,-5.647012794827653,785
80122,3,-323.04200000000003,-4.712000000000046,2,-5.638146522227522,-5.729252709181626,804
80233,3,-326.66400000000004,-3.622000000000014,2,-5.701362347734757,-5.792468534688861,795
80344,3,-328.22799999999995,-1.5639999999999077,2,-5.728659297235947,-5.819765484190051,792
104268,3,5.238,-1.5300000000000002,3,0.09142034621946299,0.0,489
104378,3,1.0540000000000007,-4.183999999999999,3,0.018395770316020247,-0.07302457590344275,489
104487,3,-4.273999999999999,-5.327999999999999,3,-0.07459537223023763,-0.16601571844970062,491
104597,3,-10.006,-5.732000000000001,3,-0.1746376449545526,-0.26605799117401563,491
104707,3,-15.772,-5.766,3,-0.27527332962454565,-0.36669367584400864,491
104817,3,-21.503999999999998,-5.7319999999999975,3,-0.3753156023488606,-0.46673594856832357,488
104926,3,-27.254,-5.7500000000000036,3,-0.4756720343385346,-0.5670923805579976,490
105036,3,-33.001999999999995,-5.747999999999994,3,-0.5759935597431686,-0.6674139059626316,490
105145,3,-38.751999999999995,-5.75,3,-0.6763499917328425,-0.7677703379523055,491
105255,3,-44.483999999999995,-5.731999999999999,3,-0.7763922644571575,-0.8678126106766204,487
105364,3,-50.24999999999999,-5.765999999999998,3,-0.8770279491271504,-0.9684482953466134,489
105473,3,-56.016,-5.766000000000005,3,-0.9776636337971436,-1.0690839800166065,487
105583,3,-61.802,-5.786000000000001,3,-1.0786483843175356,-1.1700687305369986,490
105692,3,-67.586,-5.783999999999999,3,-1.1795982282528876,-1.2710185744723506,486
105802,3,-73.38799999999999,-5.8019999999999925,3,-1.2808622314535985,-1.3722825776730614,488
105912,3,-79.13799999999999,-5.75,3,-1.3812186634432724,-1.4726390096627353,488
106021,3,-84.888,-5.750000000000014,3,-1.4815750954329465,-1.5729954416524095,489
106131,3,-90.636,-5.7479999999999905,3,-1.5818966208375804,-1.6733169670570434,493
106241,3,-96.386,-5.75,3,-1.6822530528272543,-1.7736733990467173,496
106352,3,-102.11800000000001,-5.7320000000000135,3,-1.7822953255515697,-1.8737156717710326,497
106461,3,-107.86800000000001,-5.75,3,-1.8826517575412436,-1.9740721037607065,502
106571,3,-113.6,-5.731999999999985,3,-1.9826940302655582,-2.074114376485021,501
106681,3,-119.31599999999999,-5.715999999999994,3,-2.082457050309554,-2.1738773965290172,508
106790,3,-125.03,-5.714000000000013,3,-2.1821851637685103,-2.2736055099879735,513
106900,3,-130.78,-5.75,3,-2.2825415957581843,-2.3739619419776474,520
107010,3,-136.512,-5.731999999999999,3,-2.382583868482499,-2.4740042147019623,527
107119,3,-142.244,-5.731999999999999,3,-2.482626141206814,-2.574046487426277,532
107229,3,-147.974,-5.72999999999999,3,-2.582633507346089,-2.6740538535655523,546
107339,3,-153.706,-5.731999999999999,3,-2.682675780070404,-2.774096126289867,561
107448,3,-159.43800000000002,-5.732000000000028,3,-2.7827180527947193,-2.8741383990141824,577
107559,3,-165.17,-5.731999999999971,3,-2.8827603255190337,-2.974180671738497,588
107669,3,-170.92000000000002,-5.750000000000028,3,-2.9831167575087085,-3.0745371037281717,604
107779,3,-176.67000000000002,-5.75,3,-3.0834731894983824,-3.1748935357178456,624
