Frame,Time(ms),ABC_signed(deg),BCD_signed(deg),∠ABC,∠BCD,∠ABC_smooth,∠BCD_smooth
18,6892,-149.21985576679293,-169.95211897467058,30.780144233207068,10.047881025329417,30.71012843444855,10.144310456984305
19,6925,-148.94205984395438,-169.82606521396582,31.057940156045618,10.173934786034181,30.749470889722513,10.143824708491206
20,6958,-149.23904849501182,-169.95211897467058,30.760951504988185,10.047881025329417,30.868988121622472,10.129982740447922
21,6992,-149.45830419102361,-169.51993762632864,30.541695808976385,10.480062373671359,30.850895288168942,10.146361349436223
22,7025,-149.23904849501182,-169.95211897467058,30.760951504988185,10.047881025329417,30.827342638175868,10.110826516400042
23,7058,-148.92362253621354,-170.0343447602801,31.076377463786457,9.965655239719894,30.73208590037696,10.180440919029543
24,7092,-149.22975012385072,-169.7328632786588,30.77024987614928,10.267136721341188,30.72929038225828,10.158334465260438
25,7125,-149.45830419102361,-169.94425194557198,30.541695808976385,10.055748054428022,30.692704361421065,10.228486769963796
26,7158,-149.22975012385072,-169.94425194557198,30.77024987614928,10.055748054428022,30.67725195667123,10.16894183784694
27,7192,-149.77273251266138,-169.21289673198174,30.227267487338622,10.787103268018257,30.587285704811016,10.188739851353834
28,7225,-149.00104950459288,-170.15411451626287,30.998950495407115,9.845885483737135,30.53110648854657,10.167351114813803
29,7258,-149.75429520492054,-169.62956943519305,30.24570479507946,10.370430564806952,30.60681758523946,10.094929322791268
30,7292,-149.23549233210196,-170.35389287051228,30.764507667898044,9.646107129487717,30.605219001245757,10.139634374233502
31,7325,-149.52559458566267,-169.83791680599924,30.474405414337326,10.162083194000758,30.552881029185748,10.147234352435795
32,7358,-149.2967545677372,-169.83791680599924,30.703245432262804,10.162083194000758,30.563501731071693,10.061112852349881
33,7392,-149.28027289798956,-169.83791680599924,30.719727102010438,10.162083194000758,30.52250777741384,10.123956831268167
34,7425,-149.81815269846408,-169.52797165613836,30.181847301535925,10.472028343861638,30.56704266080324,10.089310798937372
35,7458,-149.52559458566267,-170.04475987677657,30.474405414337326,9.955240123223433,30.50534158576484,10.158187069030797
36,7492,-149.29212929701973,-170.2623424283889,30.707870702980273,9.737657571611095,30.536637389041374,10.104664652536032
37,7525,-149.2967545677372,-169.83791680599924,30.703245432262804,10.162083194000758,30.62250258833172,10.023450411833913
38,7558,-149.52559458566267,-169.83791680599924,30.474405414337326,10.162083194000758,30.697660339966255,10.01915950536166
39,7592,-149.31336846042245,-169.83791680599924,30.686631539577547,10.162083194000758,30.722035024610303,10.053316379016195
40,7625,-149.08067631615373,-170.0539950575827,30.919323683846272,9.94600494241729,30.735893682443134,10.125251934482046
41,7658,-148.98912587403038,-170.1455454997061,31.01087412596962,9.854454500293912,30.725814931635984,10.132476130075208
42,7692,-149.62033123335834,-169.5348327874974,30.379668766641657,10.465167212502593,30.697568022912257,10.072237000169903
43,7725,-149.54312102580877,-169.83791680599924,30.456878974191227,10.162083194000758,30.69716802958142,10.012364366427752
44,7758,-148.98912587403038,-170.1455454997061,31.01087412596962,9.854454500293912,30.636100658647074,9.984313899707463
45,7792,-149.52559458566267,-170.04626417680544,30.474405414337326,9.953735823194563,30.56029740891018,10.057862866353165
46,7825,-149.52559458566267,-170.04626417680544,30.474405414337326,9.953735823194563,30.565467519086,10.115121887905625
47,7858,-149.2967545677372,-170.04626417680544,30.703245432262804,9.953735823194563,30.568315046248323,10.136243505731013
48,7892,-149.51051629378748,-169.62415507994896,30.489483706212525,10.375844920051037,30.56687677854797,10.172242410586264
49,7925,-149.51051629378748,-169.41580770914277,30.489483706212525,10.584192290857231,30.557701769689572,10.149788091979948
50,7958,-149.2967545677372,-169.83791680599924,30.703245432262804,10.162083194000758,30.62794971594895,10.148208950199797
51,7992,-149.52559458566267,-170.04626417680544,30.474405414337326,9.953735823194563,30.665303943882677,10.122215934660058
52,8025,-148.98912587403038,-170.35389287051228,31.01087412596962,9.646107129487717,30.70441175168112,10.063657952548029
53,8058,-149.2967545677372,-170.04626417680544,30.703245432262804,9.953735823194563,30.78344390609518,9.9901989063271
54,8092,-149.2967545677372,-169.62956943519305,30.703245432262804,10.370430564806952,30.871623412523103,9.916602845368793
55,8125,-149.08067631615373,-170.0539950575827,30.919323683846272,9.94600494241729,30.824862125208075,9.990673161451676
56,8158,-149.08067631615373,-170.0539950575827,30.919323683846272,9.94600494241729,30.834820181821993,10.01618725839614
