Time(ms),SensorA0,SensorA1,SensorA2
49330,363,291,763
49411,366,293,771
49426,365,292,768
49441,360,288,764
49521,368,294,777
49536,371,296,777
49550,368,295,777
49631,371,297,779
49645,373,298,784
49660,377,302,794
49741,375,301,793
49755,373,299,788
49770,373,299,788
49851,376,300,790
49865,375,301,788
49880,374,300,786
49961,377,301,786
49975,375,299,780
49990,375,299,780
50071,376,301,780
50086,375,298,773
50100,373,299,769
50181,377,300,773
50196,375,300,767
50211,375,299,766
50292,376,301,763
50306,374,298,758
50321,372,298,758
50402,376,300,755
50416,374,299,753
50431,373,298,746
50512,374,302,746
50527,372,298,743
50542,372,298,741
50622,374,299,740
50637,373,299,735
50651,370,298,731
50732,374,299,729
50747,372,300,729
50762,370,298,724
50842,374,300,724
50857,372,299,720
50871,372,298,717
50952,373,301,722
50967,371,301,715
50981,370,299,713
51062,372,300,713
51076,371,300,711
51090,370,298,704
51171,372,299,704
51185,371,299,701
51200,370,299,698
51281,373,300,697
51295,370,298,693
51310,370,299,692
51390,374,301,691
51405,372,298,686
51420,371,298,682
51501,372,300,681
51515,370,298,678
51530,369,298,677
51611,373,299,676
51626,372,300,674
51640,370,301,669
51721,372,300,670
51735,370,299,665
51750,370,297,661
51831,373,299,657
51845,370,299,656
51860,372,298,650
51940,374,299,644
51955,371,300,642
51970,370,297,636
52051,372,299,632
52065,371,298,629
52080,369,298,629
52160,372,300,628
52175,371,298,622
52189,369,297,623
52270,373,300,625
52284,371,298,621
52299,370,299,619
52379,373,299,616
52394,370,298,613
52408,370,297,613
52489,374,299,614
52503,372,299,609
52518,369,298,612
52599,373,299,608
52613,372,299,603
52627,370,297,603
52708,373,300,605
52723,373,300,600
52737,370,299,601
52818,372,300,601
52832,370,298,600
52847,370,297,598
52927,373,300,602
52942,372,297,597
52956,371,296,598
53037,373,300,601
53051,369,299,598
53066,370,298,598
53146,374,299,596
53161,371,298,596
53176,370,296,595
53257,373,299,596
53271,370,298,594
53287,369,296,587
53367,372,300,591
53382,372,299,588
53396,371,298,587
53477,372,299,584
53491,372,297,582
53506,370,298,580
53587,374,299,583
53601,371,297,580
53616,370,298,579
53696,372,300,582
53711,370,298,578
53725,370,296,578
53806,373,301,582
53820,372,299,580
53835,371,297,578
53915,373,300,581
53930,372,298,579
53944,370,297,577
54025,374,301,582
54039,373,298,578
54054,370,298,577
54134,373,300,579
54149,372,298,578
54164,371,298,575
54244,373,300,580
54259,373,298,575
54273,370,298,574
54354,371,299,580
54368,372,298,577
54383,371,298,575
54463,373,299,579
54478,372,298,577
54492,370,296,573
54573,373,299,577
54587,372,298,575
54602,369,297,574
54683,373,299,579
54697,371,297,575
54711,371,296,572
54792,374,299,577
54806,370,298,577
54821,371,298,576
54901,373,300,579
54916,370,298,576
54930,370,297,570
55011,374,300,578
55025,370,298,575
55040,371,299,576
55120,373,299,578
55135,370,297,573
55149,369,297,574
55230,372,299,578
55244,370,296,575
55259,372,298,573
