Time(ms),MotorID,SensorA1,θ_total,cycle
204965,2,405,109.30309443972835,6
205077,2,411,108.49484602789443,6
205189,2,424,107.76206170634072,6
205301,2,432,106.68202315703937,6
205413,2,438,104.94911014789355,6
205524,2,451,103.8752863179316,6
205637,2,458,102.88257787502363,6
205750,2,471,101.67071638612799,6
205863,2,475,100.79349074918125,6
205974,2,481,99.88772397528606,6
206086,2,494,98.27496667284714,6
206197,2,501,96.88982186624887,6
206309,2,506,94.98243810416179,6
206421,2,509,93.84235701664807,6
206533,2,519,92.9326082839847,6
206646,2,525,91.24986541892241,6
206759,2,527,89.63113370332613,6
206871,2,528,88.1180913261504,6
206983,2,537,85.74175130239267,6
207096,2,536,84.20760630087015,6
207208,2,540,83.22843505183218,6
207320,2,555,81.59005874075757,6
207431,2,561,80.36461861248134,6
207543,2,561,78.90352640493293,6
207654,2,556,77.49164897748705,6
