Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth,θ_total,L_est_cm,theta_from_R(compose),phase_used
61560,5,Extend,>>,-1423,-119.03,369,296,375,35.354608797441685,24.10450504238496,59.45911383982664,-3.2343367114368,53.66499528134348,Extend
61574,6,Extend,>>,-723,-53.01,368,294,373,35.354608797441685,24.10450504238496,59.45911383982664,-3.2684625836735623,53.23919681420205,Extend
61655,4,Extend,>>,-242,-15.38,369,295,374,35.20169736849844,24.194787207082577,59.39648457558102,-3.251392533801773,53.453204675308,Extend
61670,5,Extend,>>,-1467,-122.9,369,294,373,35.20169736849844,24.194787207082577,59.39648457558102,-3.2684625836735623,53.23919681420205,Extend
61685,6,Extend,>>,-771,-57.05,366,293,369,35.12221725224003,24.3158993365575,59.43811658879753,-3.336885058228879,52.36089066577686,Extend
61767,4,Extend,>>,-287,-19.34,370,294,373,35.1766436883167,24.3304680037854,59.5071116921021,-3.2684625836735623,53.23919681420205,Extend
61781,5,Extend,>>,-1511,-126.77,370,294,369,35.18450547211165,24.43006326227857,59.61456873439022,-3.336885058228879,52.36089066577686,Extend
61796,6,Extend,>>,-819,-61.1,367,292,371,35.18450547211165,24.43006326227857,59.61456873439022,-3.3026453659375887,52.80450890462835,Extend
61876,4,Extend,>>,-332,-23.3,370,293,372,35.388315339581055,24.223634083847088,59.61194942342814,-3.2855468610521674,53.02296659355166,Extend
61891,5,Extend,>>,-1555,-130.55,369,293,370,35.41342899734671,24.112014816006585,59.5254438133533,-3.319758098329826,52.583818634449216,Extend
61906,6,Extend,>>,-867,-65.05,365,291,368,35.41342899734671,24.112014816006585,59.5254438133533,-3.354026245634748,52.13571987711944,Extend
61986,4,Extend,>>,-377,-27.25,369,295,370,35.301232550870104,24.006318996768435,59.30755154763854,-3.319758098329826,52.583818634449216,Extend
62001,5,Extend,>>,-1599,-134.24,370,290,372,35.301232550870104,24.006318996768435,59.30755154763854,-3.2855468610521674,53.02296659355166,Extend
62016,6,Extend,>>,-915,-69.36,367,291,369,35.16669358887749,24.123409770774536,59.29010335965203,-3.336885058228879,52.36089066577686,Extend
62097,4,Extend,>>,-422,-31.03,370,291,368,35.12425626854282,24.20047513212417,59.32473140066699,-3.354026245634748,52.13571987711944,Extend
62111,5,Extend,>>,-1643,-138.11,370,290,367,35.03230101199158,24.33550316624204,59.36780417823362,-3.371181660547433,51.908301142730636,Extend
62126,6,Extend,>>,-963,-73.32,369,287,363,35.03230101199158,24.33550316624204,59.36780417823362,-3.4399455952663325,50.97604408402891,Extend
62206,4,Extend,>>,-467,-34.9,371,289,367,35.00946913932823,24.23583638242025,59.24530552174848,-3.371181660547433,51.908301142730636,Extend
62221,5,Extend,>>,-1687,-141.89,369,287,366,34.99295665000475,24.194960852003703,59.18791750200845,-3.388351302966934,51.67862933260966,Extend
62235,6,Extend,>>,-1011,-77.54,366,286,364,34.99295665000475,24.194960852003703,59.18791750200845,-3.4227332703263835,51.21250594389575,Extend
62316,4,Extend,>>,-512,-38.95,369,285,365,35.0591609929729,23.981959803297507,59.041120796270405,-3.405535172893251,51.44669931250127,Extend
62330,5,Extend,>>,-1731,-145.67,370,284,364,35.0591609929729,23.981959803297507,59.041120796270405,-3.4227332703263835,51.21250594389575,Extend
62345,6,Extend,>>,-1059,-81.58,368,284,362,35.1675560858404,23.918803764728796,59.086359850569195,-3.457172147713097,50.737308585882126,Extend
62426,4,Extend,>>,-557,-42.81,369,281,364,35.23317006830194,23.901818458730503,59.13498852703244,-3.4227332703263835,51.21250594389575,Extend
62440,5,Extend,>>,-1775,-149.54,369,283,365,35.23317006830194,23.901818458730503,59.13498852703244,-3.405535172893251,51.44669931250127,Extend
62455,6,Extend,>>,-1107,-85.71,366,280,363,35.22241312779718,23.955257183268262,59.17767031106544,-3.4399455952663325,50.97604408402891,Extend
62535,4,Extend,>>,-602,-46.68,370,282,364,35.200067237274,23.978419965454684,59.17848720272868,-3.4227332703263835,51.21250594389575,Extend
62551,5,Extend,>>,-1819,-153.41,370,280,363,35.13057788801207,23.986549298204785,59.117127186216855,-3.4399455952663325,50.97604408402891,Extend
62566,6,Extend,>>,-1155,-89.67,365,278,361,35.13057788801207,23.986549298204785,59.117127186216855,-3.474412927666678,50.49629429818226,Extend
62647,4,Extend,>>,-647,-50.64,369,280,362,35.06323687870777,23.8811432381614,58.94438011686917,-3.457172147713097,50.737308585882126,Extend
62661,5,Extend,>>,-1863,-157.27,366,277,363,35.06323687870777,23.8811432381614,58.94438011686917,-3.4399455952663325,50.97604408402891,Extend
