Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABD_smooth,angle_smooth,dmotor,L_cm,cycle,L_rel_cm
119924,4,Extend,>>,967,90.73,490,403,602,-2.18359496573263,98.57000000000001,-3.9200000000000017,1.7203710436908108,3,-0.4544139240492433
120034,4,Extend,>>,922,86.86,490,399,597,-3.141258723052263,94.684,-3.88600000000001,1.652547548958311,3,-0.5222374187817431
120145,4,Extend,>>,877,82.99,484,400,598,-4.092722596375,90.78,-3.9039999999999964,1.5844098949604524,3,-0.5903750727796018
120257,4,Extend,>>,832,79.12,481,400,594,-5.39866284373093,86.858,-3.921999999999997,1.515958081697235,3,-0.6588268860428192
120368,4,Extend,>>,787,75.08,482,398,591,-6.51609066172832,82.95599999999999,-3.9020000000000152,1.4478553342844158,3,-0.7269296334556383
120479,4,Extend,>>,742,71.3,479,398,587,-7.577541979949983,79.07,-3.8859999999999957,1.3800318395519162,3,-0.7947531281881379
120590,4,Extend,>>,697,67.43,472,397,586,-9.034599146934733,75.184,-3.8859999999999957,1.3122083448194166,3,-0.8625766229206375
120701,4,Extend,>>,652,63.56,469,396,584,-10.452152517976527,71.298,-3.8859999999999957,1.244384850086917,3,-0.9304001176531371
120812,4,Extend,>>,607,59.69,468,393,578,-11.270499568810717,67.412,-3.8859999999999957,1.1765613553544176,3,-0.9982236123856365
120923,4,Extend,>>,562,55.91,466,392,575,-11.7468445910675,63.577999999999996,-3.8340000000000103,1.1096454318329547,3,-1.0651395359070994
121036,4,Extend,>>,517,52.13,463,391,567,-12.221401023332811,59.74400000000001,-3.833999999999989,1.0427295083114925,3,-1.1320554594285617
121150,4,Extend,>>,472,48.18,459,387,559,-12.300571284638409,55.894000000000005,-3.8500000000000014,0.9755343321097106,3,-1.1992506356303436
121264,4,Extend,>>,427,44.13,457,385,553,-12.299670734325868,52.008,-3.886000000000003,0.9077108373772109,3,-1.2670741303628432
121378,4,Extend,>>,382,40.35,452,383,546,-12.207651077091992,48.14,-3.868000000000002,0.8402015019100703,3,-1.3345834658299838
121491,4,Extend,>>,337,36.66,448,384,538,-11.619743770117982,44.29,-3.8500000000000014,0.7730063257082885,3,-1.4017786420317657
121605,4,Extend,>>,292,32.7,441,378,532,-11.14686765339331,40.404,-3.8859999999999957,0.7051828309757889,3,-1.4696021367642653
121718,4,Extend,>>,247,28.84,430,371,523,-10.209144627135476,36.536,-3.868000000000002,0.6376734955086483,3,-1.5371114722314059
121832,4,Extend,>>,202,24.88,426,369,514,-9.417639879475718,32.686,-3.8500000000000014,0.5704783193068665,3,-1.6043066484331876
121945,4,Extend,>>,157,21.1,421,365,506,-8.375064139523483,28.836000000000002,-3.849999999999998,0.5032831431050849,3,-1.6715018246349693
122058,4,Extend,>>,112,17.32,411,357,492,-7.048637487499001,24.968,-3.868000000000002,0.4357738076379442,3,-1.7390111601021099
122172,4,Extend,>>,67,13.45,411,356,483,-6.182822231034606,21.118000000000002,-3.849999999999998,0.36857863143616254,3,-1.8062063363038916
122286,4,Extend,>>,22,9.58,402,351,476,-5.287140967147562,17.266,-3.852000000000004,0.3013485486493409,3,-1.8734364190907131
122400,4,Extend,>>,-23,5.98,395,343,465,-4.599425973093563,13.486,-3.7799999999999976,0.2353751029239553,3,-1.939409864816099
