Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth,θ_total,angle_smooth,dmotor,L_cm,cycle,L_rel_cm
58827,6,Extend,>>,477,48.62,373,298,564,35.56650235317768,24.492682952771037,60.059185305948716,56.739999999999995,-4.060000000000002,0.9902998175815825,1,-0.5538627848278805
58938,6,Extend,>>,429,44.66,372,298,561,35.32679396183657,24.593158467373605,59.91995242921018,52.696000000000005,-4.04399999999999,0.919718702630932,1,-0.624443899778531
59048,6,Extend,>>,381,40.7,372,299,559,35.31868905650818,24.420950169159955,59.73963922566813,48.686,-4.010000000000005,0.8497309996259593,1,-0.6944316027835037
59157,6,Extend,>>,333,36.75,369,297,556,35.2442183249056,24.325347346005863,59.569565670911466,44.696000000000005,-3.989999999999995,0.7800923624713856,1,-0.7640702399380774
59267,6,Extend,>>,285,32.79,371,299,553,35.533825699708544,24.223298559934697,59.75712425964324,40.704,-3.9920000000000044,0.7104188187317719,1,-0.8337437836776911
59376,6,Extend,>>,237,28.84,371,297,552,35.65492991156948,24.10830234112404,59.76323225269353,36.748000000000005,-3.955999999999996,0.6413735935228763,1,-0.9027890088865868
59486,6,Extend,>>,189,24.79,371,297,549,35.453292363179656,24.27043060858872,59.723722971768375,32.774,-3.9740000000000038,0.5720142090486215,1,-0.9721483933608415
59595,6,Extend,>>,141,20.92,368,295,538,35.767138520957914,23.923424691260685,59.6905632122186,28.818,-3.9559999999999995,0.5029689838397259,1,-1.041193618569737
59705,6,Extend,>>,93,16.79,370,297,530,35.55857014604163,23.944804659704413,59.50337480574605,24.826,-3.992000000000001,0.4332954401001123,1,-1.1108671623093507
59815,6,Extend,>>,45,12.84,369,296,516,35.441619344220086,24.041502514143737,59.48312185836382,20.836000000000002,-3.9899999999999984,0.36365680294553854,1,-1.1805057994639245
59924,6,Extend,>>,-3,8.62,366,296,500,35.547028645006066,23.94978574171845,59.496814386724516,16.791999999999998,-4.044000000000004,0.29307568799488776,1,-1.2510869144145753
60034,6,Extend,>>,-51,4.31,368,296,480,35.58601686309857,23.9113365562178,59.49735341931637,12.696000000000002,-4.0959999999999965,0.2215870018332001,1,-1.322575600576263
60144,6,Extend,>>,-99,0.26,368,295,464,35.279078751957094,24.06780189500848,59.34688064696557,8.564,-4.1320000000000014,0.1494699971407944,1,-1.3946926052686686
60253,6,Extend,>>,-147,-3.87,366,295,458,35.04517564606354,24.365513799288845,59.41068944535239,4.4319999999999995,-4.132000000000001,0.07735299244838868,1,-1.4668096099610743
60363,6,Extend,>>,-195,-7.74,368,296,445,35.01277474086808,24.471951972227703,59.48472671309578,0.31599999999999967,-4.116,0.0055152404363020754,1,-1.5386473619731609
60473,6,Extend,>>,-243,-12.04,369,295,440,35.06587811447925,24.434388311144865,59.50026642562411,-3.816,-4.132,-0.06660176425610362,1,-1.6107643666655667
60583,6,Extend,>>,-291,-16.18,369,296,429,35.080962964377434,24.412408100080214,59.49337106445765,-7.913999999999999,-4.097999999999999,-0.1381253570028312,1,-1.6822879594122941
