Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth,θ_total,angle_smooth,dmotor,L_cm,cycle,L_rel_cm
109863,3,Flex,>>,-3506,-296.44,362,282,772,20.83669732621225,8.69477308126837,29.53147040748062,-285.31,-5.574000000000012,-4.979598888865022,3,-5.071019235084485
109972,3,Flex,>>,-3572,-302.07,365,286,767,20.858249409875853,8.692790255543931,29.551039665419786,-290.88399999999996,-5.573999999999955,-5.076883541371185,3,-5.168303887590648
110082,3,Flex,>>,-3638,-307.6,365,290,774,20.93245606829676,9.388492065215416,30.320948133512175,-296.44,-5.55600000000004,-5.17385403461199,3,-5.265274380831453
110192,3,Flex,>>,-3704,-313.05,366,292,767,21.017232109872467,9.658635375579962,30.67586748545243,-302.012,-5.572000000000003,-5.271103780533115,3,-5.362524126752578
110301,3,Flex,>>,-3770,-318.77,365,293,767,21.038828242037816,9.96314397120632,31.001972213244137,-307.586,-5.574000000000012,-5.368388433039279,3,-5.459808779258742
110411,3,Flex,>>,-3836,-324.22,362,290,770,21.02438407426016,11.106009842394318,32.13039391665448,-313.142,-5.555999999999983,-5.465358926280083,3,-5.556779272499546
110520,3,Flex,<<,-3836,-329.67,370,297,791,21.358374423728957,11.676424690112334,33.03479911384129,-318.66200000000003,-5.520000000000039,-5.561701100990171,3,-5.653121447209634
110630,3,Flex,<<,-3770,-331.43,378,302,805,21.76835499094624,12.127305989914005,33.89566098086024,-323.428,-4.765999999999963,-5.64488349314022,3,-5.7363038393596835
110739,3,Flex,<<,-3704,-331.25,374,298,793,21.990469475585577,12.910057928658574,34.90052740424415,-327.06800000000004,-3.640000000000043,-5.708413477912814,3,-5.7998338241322775
110849,3,Flex,<<,-3638,-326.68,374,301,794,21.953029469842505,14.101337380750094,36.0543668505926,-328.65,-1.5819999999999368,-5.736024586679363,3,-5.8274449328988265
134589,3,Flex,>>,-140,-4.22,370,285,487,20.318446400178885,8.392815014926533,28.71126141510542,5.256,-1.4939999999999998,0.09173450548482197,4,0.0
134698,3,Flex,>>,-206,-9.93,371,286,486,20.75033190062458,8.338270656825589,29.08860255745017,1.0900000000000005,-4.1659999999999995,0.019024088846738202,4,-0.07271041663808377
134808,3,Flex,>>,-272,-15.74,371,286,488,20.403406283501575,8.571450631473715,28.97485691497529,-4.2379999999999995,-5.328,-0.07396705369951968,4,-0.16570155918434165
134918,3,Flex,>>,-338,-21.54,371,287,485,20.52510137855513,8.526762378218097,29.05186375677323,-9.969999999999999,-5.731999999999999,-0.17400932642383463,4,-0.2657438319086566
135028,3,Flex,>>,-404,-27.34,371,286,488,21.28370792907203,8.13377119818086,29.41747912725289,-15.754,-5.784000000000001,-0.27495917035918666,4,-0.36669367584400864
135137,3,Flex,>>,-470,-32.97,371,288,486,21.144600940155392,8.566923174870908,29.7115241150263,-21.503999999999998,-5.749999999999998,-0.3753156023488606,4,-0.46705010783368256
135247,3,Flex,>>,-536,-38.77,370,285,486,21.045035671178923,8.67423648326801,29.719272154446934,-27.272000000000002,-5.768000000000004,-0.4759861936038936,4,-0.5677206990887156
135357,3,Flex,>>,-602,-44.57,372,286,487,20.862186388942632,8.736696132239112,29.598882521181743,-33.038,-5.765999999999995,-0.5766218782738866,4,-0.6683563837587085
135467,3,Flex,>>,-668,-50.29,371,287,487,20.51218062355728,8.893497194412005,29.405677817969284,-38.788,-5.75,-0.6769783102635605,4,-0.7687128157483825
135576,3,Flex,>>,-734,-55.91,373,287,486,20.75345611078612,8.919717240506758,29.67317335129288,-44.501999999999995,-5.713999999999999,-0.7767064237225164,4,-0.8684409292073384
135686,3,Flex,>>,-800,-61.89,372,287,484,20.72323974820273,9.198827645377389,29.922067393580118,-50.286,-5.784000000000006,-0.8776562676578685,4,-0.9693907731426905
135796,3,Flex,>>,-866,-67.6,372,287,486,20.53191774924763,9.354829978542632,29.88674772779026,-56.052,-5.765999999999998,-0.9782919523278616,4,-1.0700264578126835
135905,3,Flex,>>,-932,-73.41,370,286,486,20.77511068096404,9.149957266425831,29.92506794738987,-61.82000000000001,-5.768000000000008,-1.0789625435828947,4,-1.1706970490677167
136015,3,Flex,>>,-998,-79.21,373,287,486,20.80230295560865,9.179811223403936,29.982114179012584,-67.604,-5.783999999999992,-1.1799123875182465,4,-1.2716468930030684
