Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth,θ_total,angle_smooth,dmotor,cycle
38328,5,Extend,>>,-2127,-177.76,295,270,369,8.128158836603662,-1.1165509100936817,7.01160792650998,-170.26799999999997,-3.691999999999979,0
38438,5,Extend,>>,-2171,-181.54,296,270,368,9.522857905063814,-1.0103998468075477,8.512458058256266,-173.97799999999998,-3.710000000000008,0
38548,5,Extend,>>,-2215,-185.23,296,270,369,11.148259244611882,-0.8263240490598638,10.321935195552019,-177.706,-3.7280000000000086,0
38657,5,Extend,>>,-2259,-189.01,295,267,368,11.419779057629064,-0.0401796299289225,11.379599427700143,-181.468,-3.7620000000000005,0
38767,5,Extend,>>,-2303,-192.44,297,266,365,12.006848892563289,0.6806907118400367,12.687539604403325,-185.196,-3.7280000000000086,0
38877,5,Extend,>>,-2347,-196.4,293,264,364,13.615892773702647,1.43861496770983,15.054507741412477,-188.924,-3.7280000000000086,0
38987,5,Extend,>>,-2391,-200.26,294,265,366,14.681982321938612,2.0883217304303985,16.77030405236901,-192.66799999999998,-3.7439999999999714,0
39097,5,Extend,>>,-2435,-204.13,296,262,363,16.328012370091017,2.547838467428553,18.875850837519568,-196.448,-3.7800000000000296,0
39207,5,Extend,<<,-2435,-207.91,301,268,369,18.36148127568094,3.515105768885958,21.8765870445669,-200.228,-3.780000000000001,0
39317,5,Extend,<<,-2391,-209.14,304,269,374,20.40830212924353,4.5885672438582725,24.996869373101802,-203.56799999999998,-3.339999999999975,0
39427,5,Extend,<<,-2347,-209.14,306,271,372,21.531430632126376,4.877296292474221,26.408726924600597,-206.11599999999999,-2.548000000000002,0
39536,5,Extend,<<,-2303,-206.51,309,272,374,22.35437409959442,5.2795032621069815,27.6338773617014,-207.36599999999999,-1.25,0
63258,5,Extend,>>,29,7.82,423,409,569,45.98009297536623,25.678151545185152,71.65824452055139,14.186000000000002,-1.0039999999999996,1
63369,5,Extend,>>,-15,4.13,422,409,571,45.94925373447835,25.460153124687984,71.40940685916632,11.408000000000001,-2.7780000000000005,1
63479,5,Extend,>>,-59,0.26,421,410,570,45.68890456087684,25.10105709565797,70.78996165653481,7.856000000000002,-3.5519999999999996,1
63591,5,Extend,>>,-103,-3.69,422,409,569,44.90345326837195,24.959607880095117,69.86306114846707,4.024,-3.8320000000000016,1
63702,5,Extend,>>,-147,-7.56,422,410,569,43.8551344405045,24.37485970077361,68.22999414127811,0.1920000000000009,-3.831999999999999,1
63812,5,Extend,>>,-191,-11.43,421,409,568,41.98465208047804,23.47061284792184,65.45526492839988,-3.657999999999999,-3.85,1
63924,5,Extend,>>,-235,-15.3,421,410,568,41.3045756468034,22.561745840437304,63.866321487240704,-7.544,-3.8860000000000006,1
64036,5,Extend,>>,-279,-18.99,421,409,567,40.712526474670256,21.43009229265468,62.14261876732493,-11.393999999999998,-3.8499999999999988,1
64147,5,Extend,>>,-323,-22.77,419,408,566,38.64349681644883,20.500724027838416,59.14422084428725,-15.209999999999999,-3.8160000000000007,1
64258,5,Extend,>>,-367,-26.64,419,408,563,37.31800469228831,19.255578309391435,56.57358300167975,-19.026,-3.8160000000000007,1
64369,5,Extend,>>,-411,-30.42,420,409,560,36.08699941612768,18.520462352642426,54.60746176877011,-22.824,-3.798000000000002,1
64481,5,Extend,>>,-455,-34.37,418,408,558,34.41093000162229,17.784144733210457,52.195074734832744,-26.637999999999998,-3.8139999999999965,1
64593,5,Extend,>>,-499,-38.24,417,407,556,33.57348672052868,16.86249276185884,50.435979482387516,-30.488,-3.8500000000000014,1
64705,5,Extend,>>,-543,-42.02,415,404,550,32.418173439501395,15.948268695820996,48.36644213532239,-34.338,-3.8500000000000014,1
64815,5,Extend,>>,-587,-45.8,417,407,550,30.5825351229925,14.717337180947869,45.29987230394037,-38.17,-3.8320000000000007,1
64926,5,Extend,>>,-631,-49.76,416,406,546,29.169377381638437,14.31836836560294,43.48774574724138,-42.038,-3.867999999999995,1
65037,5,Extend,>>,-675,-53.63,413,404,538,27.57109855860206,13.2805826005353,40.85168115913736,-45.89,-3.852000000000004,1
65149,5,Extend,>>,-719,-57.32,412,401,534,25.484584785426605,11.86484339450912,37.34942817993573,-49.706,-3.8160000000000025,1
65260,5,Extend,>>,-763,-61.1,410,397,531,23.42525420234,10.919084036708268,34.34433823904827,-53.522000000000006,-3.8160000000000025,1
65372,5,Extend,>>,-807,-64.88,406,398,529,21.09046389575952,9.422456131622846,30.512920027382364,-57.338,-3.8159999999999954,1
65483,5,Extend,>>,-851,-68.75,404,396,521,18.465433276418583,7.448366430933399,25.913799707351984,-61.136,-3.798000000000002,1
65595,5,Extend,>>,-895,-72.53,404,396,518,16.299045856851805,6.26422763885904,22.563273495710845,-64.916,-3.779999999999994,1
65707,5,Extend,>>,-939,-76.31,399,394,512,14.268995357012509,5.100912208294256,19.369907565306764,-68.714,-3.798000000000002,1
65819,5,Extend,>>,-983,-80.0,397,393,507,12.598074603505353,3.901372328546187,16.49944693205154,-72.494,-3.780000000000001,1
65931,5,Extend,>>,-1027,-83.69,393,396,501,11.064646135847472,2.894194790946658,13.95884092679413,-76.256,-3.7620000000000005,1
66043,5,Extend,>>,-1071,-87.38,386,393,493,8.646348129380419,1.860294509571192,10.506642638951611,-79.982,-3.725999999999999,1
66155,5,Extend,>>,-1115,-91.25,386,390,486,7.133365700236227,1.1048127562012096,8.238178456437437,-83.726,-3.7439999999999998,1
66266,5,Extend,>>,-1159,-95.03,380,386,478,6.038240932195448,0.3716792746085765,6.409920206804024,-87.47,-3.7439999999999998,1
66376,5,Extend,>>,-1203,-98.73,372,376,471,4.782562222166403,-0.7502420228615139,4.032320199304889,-91.216,-3.745999999999995,1
66487,5,Extend,>>,-1247,-102.42,369,369,466,3.746146017911161,-1.6760155757979311,2.07013044211323,-94.962,-3.7460000000000093,1
66596,5,Extend,>>,-1291,-106.02,362,365,464,2.3684502713784616,-1.8924947382961448,0.47595553308231686,-98.69,-3.7279999999999944,1
66706,5,Extend,>>,-1335,-109.8,354,360,458,1.250548124656201,-2.288678968356331,-1.0381308437001302,-102.4,-3.710000000000008,1
66816,5,Extend,>>,-1379,-113.76,348,348,449,0.4399396990926951,-3.392765473657697,-2.9528257745650017,-106.146,-3.745999999999995,1
66926,5,Extend,>>,-1423,-117.63,344,342,441,-0.1048590596426498,-3.875880375900289,-3.980739435542939,-109.926,-3.780000000000001,1
67038,5,Extend,>>,-1467,-121.41,335,336,436,-0.663555298055104,-4.354978478901036,-5.01853377695614,-113.724,-3.798000000000002,1
67150,5,Extend,>>,-1511,-125.01,329,333,436,-1.1576209187182511,-4.671502163176994,-5.829123081895245,-117.522,-3.798000000000002,1
67262,5,Extend,>>,-1555,-128.62,323,330,431,-1.114448257796934,-4.878821045298107,-5.99326930309504,-121.28600000000002,-3.76400000000001,1
67373,5,Extend,>>,-1599,-132.4,316,324,422,-1.000462420819574,-5.161220354396131,-6.161682775215706,-125.01400000000001,-3.7279999999999944,1
67484,5,Extend,>>,-1643,-136.26,311,320,412,-0.9147365419212806,-5.543253623287269,-6.45799016520855,-128.74,-3.725999999999999,1
67595,5,Extend,>>,-1687,-140.13,311,312,399,-0.4846252774313366,-5.5388793792189706,-6.023504656650307,-132.484,-3.7439999999999998,1
67707,5,Extend,>>,-1731,-144.0,308,308,387,0.2104518791141816,-5.29509664981393,-5.084644770699748,-136.282,-3.798000000000002,1
67819,5,Extend,>>,-1775,-147.69,308,301,380,0.7665969491399106,-4.872767513455413,-4.106170564315502,-140.09599999999998,-3.8139999999999645,1
67930,5,Extend,>>,-1819,-151.56,306,291,373,1.2546398935367131,-4.378961307904488,-3.124321414367775,-143.928,-3.832000000000022,1
68043,5,Extend,>>,-1863,-155.43,304,285,371,2.644453433806263,-3.864613333511056,-1.220159899704793,-147.762,-3.834000000000003,1
68154,5,Extend,>>,-1907,-159.38,305,284,370,3.576547048655435,-3.5435441647841275,0.033002883871307453,-151.612,-3.8499999999999943,1
68265,5,Extend,>>,-1951,-163.16,301,278,371,4.44191216154894,-2.899854200406349,1.542057961142591,-155.44400000000002,-3.832000000000022,1
68377,5,Extend,>>,-1995,-166.86,300,275,368,5.851157105081001,-2.2959912508565203,3.555165854224481,-159.27800000000002,-3.834000000000003,1
68487,5,Extend,>>,-2039,-170.37,301,274,372,6.852046498547081,-2.253169067979493,4.598877430567588,-163.04000000000002,-3.7620000000000005,1
68598,5,Extend,>>,-2083,-174.15,299,271,372,7.683163833552082,-1.703699503236292,5.97946433031579,-166.78400000000002,-3.7439999999999998,1
68709,5,Extend,>>,-2127,-178.02,299,270,372,9.023986929116006,-1.1231014846898852,7.900885444426121,-170.512,-3.72799999999998,1
68821,5,Extend,>>,-2171,-181.8,298,270,371,10.276754418293102,-0.8836357667321459,9.393118651560956,-174.24,-3.7280000000000086,1
68933,5,Extend,>>,-2215,-185.49,297,268,372,11.303435715445833,-0.4984326740975766,10.805003041348256,-177.96599999999998,-3.7259999999999707,1
69043,5,Extend,>>,-2259,-189.19,296,267,371,12.161580164423915,0.1671707366588561,12.32875090108277,-181.73000000000002,-3.7640000000000384,1
69154,5,Extend,>>,-2303,-192.62,294,267,368,13.231135909946024,0.2530672909725662,13.484203200918591,-185.424,-3.6939999999999884,1
69266,5,Extend,>>,-2347,-196.57,295,264,368,14.188249772711409,0.4684098639081531,14.656659636619562,-189.13400000000001,-3.710000000000008,1
69377,5,Extend,>>,-2391,-200.35,295,266,370,14.354051973287774,1.4309399646637364,15.78499193795151,-192.844,-3.7099999999999795,1
69488,5,Extend,>>,-2435,-204.13,293,265,366,14.475807425032578,1.8103729515176556,16.286180376550234,-196.572,-3.7280000000000086,1
69599,5,Extend,<<,-2435,-207.82,298,266,368,15.100108150606168,2.051449246509982,17.15155739711615,-200.298,-3.725999999999999,1
69711,5,Extend,<<,-2391,-209.05,303,271,375,16.263943031166118,2.439345360898568,18.703288392064685,-203.584,-3.2860000000000014,1
69822,5,Extend,<<,-2347,-209.14,305,273,379,16.73650656978179,2.773408389640462,19.50991495942225,-206.098,-2.51400000000001,1
69933,5,Extend,<<,-2303,-206.42,307,272,378,17.451790641050838,3.005741327065384,20.45753196811622,-207.31199999999998,-1.2139999999999702,1
93900,5,Extend,>>,29,7.91,433,396,554,41.10355552201915,24.444429130287432,65.54798465230658,14.222,-1.0020000000000007,2
94010,5,Extend,>>,-15,4.22,432,397,553,39.54992250969693,23.64777697703741,63.19769948673434,11.462,-2.76,2
94119,5,Extend,>>,-59,0.26,432,395,551,38.43926737140731,22.92615695921161,61.36542433061892,7.910000000000001,-3.5519999999999987,2
94229,5,Extend,>>,-103,-3.6,434,397,554,37.02253561000177,22.30714723065251,59.32968284065428,4.095999999999999,-3.814000000000002,2
94338,5,Extend,>>,-147,-7.47,433,394,552,35.769458478139015,21.83751635040103,57.60697482854005,0.26400000000000007,-3.831999999999999,2
94449,5,Extend,>>,-191,-11.43,434,396,551,34.3763906503068,20.80975282726518,55.18614347757198,-3.604,-3.8680000000000003,2
94558,5,Extend,>>,-235,-15.21,430,394,551,33.42542834206648,20.26559795938113,53.69102630144761,-7.49,-3.886,2
94668,5,Extend,>>,-279,-18.9,432,395,550,32.55932226079636,19.49363984200335,52.05296210279971,-11.322,-3.831999999999999,2
94777,5,Extend,>>,-323,-22.68,431,397,548,31.242489167436112,18.098794272033548,49.34128343946966,-15.138,-3.8160000000000007,2
94887,5,Extend,>>,-367,-26.64,429,397,547,30.33475233682933,17.293826869859938,47.62857920668927,-18.972,-3.8340000000000014,2
94997,5,Extend,>>,-411,-30.42,427,391,543,29.34793037216552,16.470308933982793,45.818239306148314,-22.77,-3.7979999999999983,2
95107,5,Extend,>>,-455,-34.37,427,394,543,27.834785359436346,15.630866903865742,43.46565226330209,-26.601999999999997,-3.831999999999997,2
95216,5,Extend,>>,-499,-38.15,426,394,538,25.949706473988105,14.211963713973802,40.1616701879619,-30.451999999999998,-3.8500000000000014,2
95326,5,Extend,>>,-543,-41.93,422,393,536,24.13961918396001,12.889262394570888,37.0288815785309,-34.302,-3.8500000000000014,2
95435,5,Extend,>>,-587,-45.8,421,393,532,22.011001172829157,11.94089674240341,33.951897915232564,-38.134,-3.8320000000000007,2
95545,5,Extend,>>,-631,-49.76,420,395,530,19.07745437121935,10.28892750996052,29.36638188117987,-42.001999999999995,-3.867999999999995,2
95655,5,Extend,>>,-675,-53.63,417,391,527,16.65992659542798,8.596126172560037,25.256052767988017,-45.854,-3.852000000000004,2
