Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth,θ_total,angle_smooth,dmotor,cycle,L_est_cm,theta_from_R(compose)
155936,5,Extend,>>,-455,-34.29,438,389,545,28.247963446783587,15.455514414011798,43.70347786079539,-26.55,-3.815999999999999,4,-0.8048692480784911,35.50643269005963
156046,5,Extend,>>,-499,-38.15,439,387,542,25.453397424666065,13.08249551411435,38.535892938780414,-30.4,-3.849999999999998,4,-0.845142544659101,33.805165319353065
156155,5,Extend,>>,-543,-41.93,437,388,541,23.585463698071067,11.87940852748087,35.464872225551936,-34.25,-3.8500000000000014,4,-0.8249943170121958,34.6512013004968
156265,5,Extend,>>,-587,-45.8,437,388,538,22.42979242689901,11.008426229339316,33.43821865623833,-38.1,-3.8500000000000014,4,-0.8249943170121958,34.6512013004968
156375,5,Extend,>>,-631,-49.67,434,386,535,21.20019900384179,10.02529031306135,31.225489316903136,-41.967999999999996,-3.867999999999995,4,-0.8653139310192066,32.96835986847765
156485,5,Extend,>>,-675,-53.54,433,382,529,18.413938282875737,8.336478539700119,26.750416822575858,-45.818,-3.8500000000000014,4,-0.9462310635916302,29.71414721758094
156596,5,Extend,>>,-719,-57.23,432,382,528,16.03289775071116,6.78501416575034,22.8179119164615,-49.634,-3.8160000000000025,4,-0.9462310635916302,29.71414721758094
156706,5,Extend,>>,-763,-61.01,430,380,524,13.535177913918478,5.163379219141823,18.6985571330603,-53.45,-3.8160000000000025,4,-0.9868285821570435,28.14334020899084
156817,5,Extend,>>,-807,-64.79,429,380,522,11.138715013781392,3.9352267588805177,15.07394177266191,-57.248000000000005,-3.798000000000002,4,-0.9868285821570435,28.14334020899084
156927,5,Extend,>>,-851,-68.75,428,380,519,9.86584270031749,3.2742780606844435,13.140120761001933,-61.064,-3.8159999999999954,4,-0.9868285821570435,28.14334020899084
157036,5,Extend,>>,-895,-72.53,425,377,514,8.358816091727135,2.502442825822073,10.861258917549208,-64.862,-3.7979999999999947,4,-1.0478985503541645,25.858299760767213
157146,5,Extend,>>,-939,-76.31,412,377,507,6.5312219776995,1.4528921937458024,7.984114171445302,-68.67800000000001,-3.8160000000000167,4,-1.0478985503541645,25.858299760767213
157256,5,Extend,>>,-983,-80.0,406,374,500,5.231293745259015,0.6618212691322849,5.8931150143913005,-72.476,-3.7979999999999876,4,-1.1091769469700878,23.659515276579818
157365,5,Extend,>>,-1027,-83.69,398,371,493,4.1123903077687896,0.1546141365282588,4.267004444297048,-76.256,-3.780000000000001,4,-1.1706637720048132,21.54794812612274
157475,5,Extend,>>,-1071,-87.47,388,371,484,3.373113876657804,-0.4482407270183371,2.924873149639467,-80.0,-3.7439999999999998,4,-1.1706637720048132,21.54794812612274
157584,5,Extend,>>,-1115,-91.34,384,365,476,2.664527555929137,-1.4165008553309917,1.2480267005981454,-83.762,-3.7620000000000005,4,-1.2942627073306694,17.590327654882643
157694,5,Extend,>>,-1159,-95.21,380,363,466,2.216162878364156,-1.986537344400605,0.2296255339635509,-87.542,-3.780000000000001,4,-1.33564762214489,16.350844631787666
157804,5,Extend,>>,-1203,-98.9,371,355,451,1.508619276444814,-2.0316726397158043,-0.5230533632709902,-91.322,-3.780000000000001,4,-1.5021136299297821,11.799230896421104
157913,5,Extend,>>,-1247,-102.59,363,353,448,1.326594477159363,-2.7216272615728805,-1.3950327844135175,-95.102,-3.780000000000001,4,-1.5439617190080066,10.764357947198274
158023,5,Extend,>>,-1291,-106.29,353,340,439,1.089368763607505,-3.295115522496036,-2.205746758888531,-98.866,-3.763999999999996,4,-1.8182322725534916,5.069533211368352
158134,5,Extend,>>,-1335,-110.07,346,338,435,0.5508484069298349,-3.58757756733056,-3.036729160400725,-102.612,-3.745999999999995,4,-1.8607751230277232,4.355278441121716
158243,5,Extend,>>,-1379,-114.02,336,333,431,0.1529661988006589,-4.107133447996128,-3.9541672491954696,-106.374,-3.7620000000000005,4,-1.9675375266943065,2.76280886746598
158353,5,Extend,>>,-1423,-117.89,333,331,410,-0.0688652964592667,-4.8639986550767205,-4.932863951535987,-110.172,-3.798000000000002,4,-2.0104045991533415,2.2038696212755715
158463,5,Extend,>>,-1467,-121.58,325,315,390,-0.3108280955069505,-5.297291210295592,-5.608119305802543,-113.97,-3.798000000000002,4,-2.356676033526452,-0.6207028796042897
158572,5,Extend,>>,-1511,-125.45,319,312,380,-0.4297879158910953,-5.675040876796068,-6.104828792687163,-117.80199999999999,-3.8319999999999936,4,-2.4222619507976164,-0.8168247689760224
158682,5,Extend,>>,-1555,-129.32,316,304,372,-0.4065207984461048,-6.454644176839855,-6.861164975285959,-121.652,-3.8500000000000085,4,-2.5981767135681983,-0.8099024654756979
158793,5,Extend,>>,-1599,-133.1,312,299,372,-0.6273763787051485,-6.486159487321672,-7.113535866026821,-125.468,-3.8160000000000025,4,-2.7088760984788194,-0.40751468988552286
158903,5,Extend,>>,-1643,-136.97,312,298,367,-0.518869388594887,-6.512577572579923,-7.03144696117481,-129.28400000000002,-3.8160000000000167,4,-2.7310854516005443,-0.2897536895662246
159013,5,Extend,>>,-1687,-140.75,310,294,367,-0.120710064820782,-6.244624116203163,-6.365334181023945,-133.118,-3.8339999999999748,4,-2.820154451219446,0.30685861756034005
159123,5,Extend,>>,-1731,-144.62,307,286,366,0.025359721526809,-5.710748695188554,-5.685388973661746,-136.952,-3.834000000000003,4,-2.99940406869086,2.1108994541930497
159233,5,Extend,>>,-1775,-148.48,307,283,366,0.6122534071237624,-5.447447064544484,-4.835193657420722,-140.784,-3.8319999999999936,4,-3.0670047940104435,3.000604287654714
159343,5,Extend,>>,-1819,-152.35,304,278,364,1.5717335560753614,-4.966003836222484,-3.3942702801471225,-144.634,-3.8499999999999943,4,-3.1801358438070877,4.7460438446796545
159453,5,Extend,>>,-1863,-156.13,303,276,365,2.2124347129926183,-4.56264834931928,-2.350213636326662,-148.466,-3.832000000000022,4,-3.225550374718147,5.537049090138913
159563,5,Extend,>>,-1907,-159.91,301,273,363,2.9362853674324434,-4.203934878512208,-1.2676495110797648,-152.29799999999997,-3.831999999999965,4,-3.2938458614337374,6.824006116782164
159674,5,Extend,>>,-1951,-163.69,300,271,363,3.5015703666597995,-3.740286929848133,-0.23871656318833345,-156.112,-3.8140000000000214,4,-3.339491979476799,7.74940654907224
159784,5,Extend,>>,-1995,-167.38,298,271,363,4.4789949289023605,-3.151871333458841,1.3271235954435197,-159.892,-3.780000000000001,4,-3.339491979476799,7.74940654907224
159894,5,Extend,>>,-2039,-171.08,298,270,361,5.830415550669489,-2.869188685154068,2.961226865515421,-163.638,-3.7460000000000093,4,-3.3623497765681303,8.232454782651384
160004,5,Extend,>>,-2083,-174.77,297,268,364,6.7901733868447565,-2.1749694552690304,4.615203931575726,-167.366,-3.7280000000000086,4,-3.408134846890393,9.239446510167262
160114,5,Extend,>>,-2127,-178.55,298,269,361,7.819948717027671,-1.2242049293284558,6.595743787699215,-171.094,-3.72799999999998,4,-3.385230732372661,8.729121474527204
