Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth,θ_total,angle_smooth,dmotor,cycle
19813,2,Flex,>>,-2,8.35,352,317,451,57.69078149436339,23.38154840162232,81.07232989598572,19.464000000000002,-5.555999999999997,0
19923,2,Flex,>>,-66,2.73,352,318,460,59.1354695410257,24.46482487483041,83.60029441585611,13.892000000000001,-5.572000000000001,0
20032,2,Flex,>>,-130,-2.81,355,319,461,60.44531934844297,25.8586150823118,86.30393443075477,8.336000000000002,-5.555999999999999,0
20142,2,Flex,>>,-194,-8.35,356,320,466,61.69957294185981,28.18769792743832,89.88727086929813,2.798,-5.538000000000002,0
20252,2,Flex,>>,-258,-13.89,355,323,471,62.716908601839066,29.75313949472509,92.47004809656416,-2.794,-5.5920000000000005,0
20361,2,Flex,>>,-322,-19.34,359,326,476,63.69684483239647,30.769549713254136,94.46639454565062,-8.331999999999999,-5.5379999999999985,0
20471,2,Flex,>>,-386,-25.05,361,328,481,64.42226788163813,31.44666262075024,95.86893050238837,-13.888,-5.556000000000001,0
20581,2,Flex,>>,-450,-30.51,361,332,484,65.36738248143601,32.40931954709732,97.77670202853332,-19.428,-5.540000000000001,0
20690,2,Flex,>>,-514,-36.04,370,340,493,66.40213662430163,32.80664383620704,99.20878046050868,-24.966,-5.538,0
20800,2,Flex,>>,-578,-41.67,376,351,511,67.43246410127904,33.171476224455844,100.60394032573488,-30.522000000000002,-5.556000000000001,0
20909,2,Flex,>>,-642,-47.21,378,355,519,69.02543557677242,33.47471101347634,102.50014659024876,-36.096,-5.5739999999999945,0
21019,2,Flex,>>,-706,-52.75,380,361,526,70.03909906487976,33.45155409460769,103.49065315948745,-41.636,-5.540000000000006,0
21129,2,Flex,>>,-770,-58.29,385,367,532,70.5537682901159,33.38785848169713,103.94162677181302,-47.19199999999999,-5.55599999999999,0
21240,2,Flex,>>,-834,-63.74,394,373,541,71.27698407567615,33.14884199776838,104.42582607344454,-52.732000000000006,-5.540000000000013,0
21350,2,Flex,>>,-898,-69.19,404,375,547,72.47149009258673,33.155458486047266,105.626948578634,-58.23599999999999,-5.503999999999984,0
21459,2,Flex,>>,-962,-74.64,414,380,551,73.16084032166208,33.10174725748158,106.26258757914366,-63.722,-5.486000000000011,0
21569,2,Flex,>>,-1026,-80.35,425,390,562,73.53153364934045,33.20265111225483,106.73418476159527,-69.24199999999999,-5.519999999999989,0
21679,2,Flex,>>,-1090,-86.07,425,407,582,74.42205880546821,33.672053507648705,108.09411231311691,-74.79799999999999,-5.555999999999997,0
21788,2,Flex,>>,-1154,-91.78,432,415,591,74.90979444333723,33.93785377732626,108.8476482206635,-80.40599999999999,-5.608000000000004,0
21898,2,Flex,>>,-1218,-97.41,437,418,599,75.10801667278102,34.06767040482382,109.17568707760483,-86.05,-5.6440000000000055,0
22008,2,Flex,>>,-1282,-102.95,439,434,611,75.48327546659552,34.14439337193419,109.6276688385297,-91.71199999999999,-5.661999999999992,0
22117,2,Flex,>>,-1346,-108.57,446,447,619,75.64120699932127,34.00368230714433,109.6448893064656,-97.356,-5.6440000000000055,0
22227,2,Flex,>>,-1410,-114.11,454,453,631,75.69714979524181,33.90342026663294,109.60057006187475,-102.96400000000001,-5.608000000000018,0
22336,2,Flex,>>,-1474,-119.65,462,457,630,75.60110816320228,34.02783930864801,109.6289474718503,-108.53799999999998,-5.57399999999997,0
22446,2,Flex,>>,-1538,-125.27,467,464,637,75.12088047502756,33.85273828010973,108.9736187551373,-114.10999999999999,-5.572000000000003,0
22556,2,Flex,>>,-1602,-130.73,470,479,649,74.97817809652727,33.65026056832072,108.62843866484799,-119.66599999999998,-5.555999999999997,0
22666,2,Flex,>>,-1666,-136.35,476,490,658,74.51089373516126,33.390893006225575,107.90178674138684,-125.22200000000001,-5.556000000000026,0
22776,2,Flex,>>,-1730,-141.89,486,505,670,72.75033483332392,33.34649774446332,106.09683257778724,-130.778,-5.555999999999983,0
22885,2,Flex,>>,-1794,-147.43,490,513,717,71.79830520592792,33.280374290800154,105.07867949672807,-136.334,-5.556000000000012,0
22996,2,Flex,>>,-1858,-153.14,500,518,739,70.91978255879036,32.92169218974454,103.84147474853489,-141.908,-5.573999999999984,0
23106,2,Flex,>>,-1922,-158.42,509,522,740,69.7995241951925,32.62508139868655,102.42460559387905,-147.446,-5.538000000000011,0
23216,2,Flex,>>,-1986,-163.87,518,531,700,68.24708560406657,32.30617262132262,100.55325822538919,-152.95,-5.503999999999991,0
23327,2,Flex,>>,-2050,-169.32,522,535,734,67.05947446310094,32.2296172923556,99.28909175545654,-158.43599999999998,-5.48599999999999,0
23436,2,Flex,>>,-2114,-174.51,535,538,706,65.88492864960187,32.23003608213999,98.11496473174186,-163.852,-5.416000000000025,0
23546,2,Flex,>>,-2178,-179.87,550,547,723,64.22449824171768,32.06502178325427,96.28952002497195,-169.19799999999998,-5.345999999999975,0
23656,2,Flex,>>,-2242,-185.05,555,549,723,62.62839317277259,32.35915279272682,94.98754596549941,-174.524,-5.326000000000022,0
23766,2,Flex,>>,-2306,-190.24,549,544,712,61.13009490185053,31.938243439636583,93.06833834148712,-179.798,-5.274000000000001,0
23875,2,Flex,>>,-2370,-195.34,552,545,710,59.29681777832806,31.526112856522357,90.82293063485042,-185.002,-5.204000000000008,0
23985,2,Flex,>>,-2434,-200.53,552,546,711,57.71023263226427,31.403220197517868,89.11345282978215,-190.20600000000002,-5.204000000000008,0
24095,2,Flex,>>,-2498,-205.71,552,547,756,56.95735538857663,31.191069084307,88.14842447288363,-195.37400000000002,-5.168000000000006,0
24204,2,Flex,>>,-2562,-210.64,551,548,716,55.74509217840264,30.9205278150546,86.66561999345724,-200.49200000000002,-5.117999999999995,0
24314,2,Flex,>>,-2626,-215.65,551,550,714,54.68990264130515,30.53737769772309,85.22728033902824,-205.57399999999998,-5.081999999999965,0
24425,2,Flex,>>,-2690,-220.13,550,549,711,53.851003499179264,30.366123050404266,84.21712654958353,-210.532,-4.958000000000027,0
24535,2,Flex,<<,-2690,-224.62,562,558,722,52.962207658104845,30.20507700406441,83.16728466216925,-215.35,-4.817999999999984,0
24645,2,Flex,<<,-2626,-225.85,570,568,736,52.7533630364096,29.98965775681673,82.74302079322634,-219.378,-4.027999999999992,0
24755,2,Flex,<<,-2562,-225.93,579,578,750,52.41500095808788,29.797199785538684,82.21220074362657,-222.436,-3.058000000000021,0
24866,2,Flex,<<,-2498,-224.44,576,576,745,51.86826554940433,29.624928790012028,81.49319433941636,-224.19400000000002,-1.7580000000000098,0
48607,2,Flex,>>,894,86.33,328,315,457,30.527798637726164,11.21685747852693,41.7446561162531,95.562,-1.441999999999993,1
48717,2,Flex,>>,830,80.62,329,314,452,31.99714282087712,11.931763621083114,43.92890644196024,91.466,-4.096000000000004,1
48826,2,Flex,>>,766,75.08,327,312,456,33.078913635092164,12.31752083417672,45.39643446926888,86.26200000000001,-5.203999999999979,1
48936,2,Flex,>>,702,69.45,329,314,457,34.35181627291138,12.844916955386674,47.19673322829805,80.67,-5.592000000000013,1
49046,2,Flex,>>,638,63.91,330,314,455,36.20394983322908,13.660067061633576,49.86401689486266,75.078,-5.591999999999999,1
49155,2,Flex,>>,574,58.46,329,314,457,37.20730141340304,14.297928717048386,51.50523013045142,69.504,-5.573999999999998,1
49265,2,Flex,>>,510,52.75,328,312,453,38.117701603560015,15.4298461271096,53.54754773066961,63.93000000000001,-5.573999999999998,1
49375,2,Flex,>>,446,47.21,329,314,455,39.27407340369112,16.69373093837348,55.967804342064596,58.355999999999995,-5.574000000000012,1
49484,2,Flex,>>,382,41.76,329,313,457,41.211248474742064,18.23747853107337,59.448727005815435,52.818000000000005,-5.53799999999999,1
49594,2,Flex,>>,318,36.22,329,313,455,43.73448384559855,19.405019282172024,63.13950312777057,47.279999999999994,-5.538000000000011,1
49704,2,Flex,>>,254,30.68,328,313,453,46.2708552140307,20.134813739095403,66.40566895312611,41.724000000000004,-5.55599999999999,1
49813,2,Flex,>>,190,25.14,328,314,455,47.2757726082956,21.066735709274077,68.34250831756967,36.202,-5.522000000000006,1
49922,2,Flex,>>,126,19.52,329,313,453,47.87764980132667,22.26398400533762,70.14163380666429,30.663999999999998,-5.538,1
50032,2,Flex,>>,62,14.15,329,317,456,49.783154275563945,23.021480864053892,72.80463513961783,25.142000000000003,-5.521999999999995,1
50141,2,Flex,>>,-2,8.53,326,313,456,51.29019438277903,23.66926851030616,74.95946289308519,19.604000000000003,-5.538,1
50251,2,Flex,>>,-66,2.73,328,313,456,52.41788924671687,24.6444918948178,77.06238114153467,14.014,-5.590000000000003,1
50361,2,Flex,>>,-130,-2.81,331,316,457,53.675200302684125,25.655034298689262,79.33023460137339,8.424,-5.59,1
50471,2,Flex,>>,-194,-8.44,330,311,461,55.07890367198628,26.80000220184686,81.87890587383313,2.832,-5.592,1
50581,2,Flex,>>,-258,-13.98,333,313,462,57.01723390659088,27.94727807063133,84.96451197722222,-2.794,-5.6259999999999994,1
50690,2,Flex,>>,-322,-19.52,335,314,467,58.47650617139888,28.65191957702208,87.12842574842097,-8.404,-5.609999999999999,1
50800,2,Flex,>>,-386,-25.14,341,313,467,59.62330550463018,29.74273244264948,89.36603794727966,-13.978,-5.574,1
