Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth,θ_total,angle_smooth,dmotor,L_cm,cycle,L_rel_cm
68043,5,Extend,>>,-1863,-155.43,304,285,371,2.644453433806263,-3.864613333511056,-1.220159899704793,-147.762,-3.834000000000003,-2.5789334093318614,1,-2.826525817019777
68154,5,Extend,>>,-1907,-159.38,305,284,370,3.576547048655435,-3.5435441647841275,0.033002883871307453,-151.612,-3.8499999999999943,-2.646128585533643,1,-2.8937209932215584
68265,5,Extend,>>,-1951,-163.16,301,278,371,4.44191216154894,-2.899854200406349,1.542057961142591,-155.44400000000002,-3.832000000000022,-2.713009602470066,1,-2.9606020101579813
68377,5,Extend,>>,-1995,-166.86,300,275,368,5.851157105081001,-2.2959912508565203,3.555165854224481,-159.27800000000002,-3.834000000000003,-2.7799255259915285,1,-3.027517933679444
68487,5,Extend,>>,-2039,-170.37,301,274,372,6.852046498547081,-2.253169067979493,4.598877430567588,-163.04000000000002,-3.7620000000000005,-2.845584812451555,1,-3.0931772201394705
68598,5,Extend,>>,-2083,-174.15,299,271,372,7.683163833552082,-1.703699503236292,5.97946433031579,-166.78400000000002,-3.7439999999999998,-2.910929939646223,1,-3.1585223473341384
68709,5,Extend,>>,-2127,-178.02,299,270,372,9.023986929116006,-1.1231014846898852,7.900885444426121,-170.512,-3.72799999999998,-2.975995814160571,1,-3.2235882218484866
68821,5,Extend,>>,-2171,-181.8,298,270,371,10.276754418293102,-0.8836357667321459,9.393118651560956,-174.24,-3.7280000000000086,-3.0410616886749198,1,-3.2886540963628352
68933,5,Extend,>>,-2215,-185.49,297,268,372,11.303435715445833,-0.4984326740975766,10.805003041348256,-177.96599999999998,-3.7259999999999707,-3.106092656604228,1,-3.3536850642921436
69043,5,Extend,>>,-2259,-189.19,296,267,371,12.161580164423915,0.1671707366588561,12.32875090108277,-181.73000000000002,-3.7640000000000384,-3.1717868496492954,1,-3.419379257337211
69154,5,Extend,>>,-2303,-192.62,294,267,368,13.231135909946024,0.2530672909725662,13.484203200918591,-185.424,-3.6939999999999884,-3.2362593122179657,1,-3.483851719905881
69266,5,Extend,>>,-2347,-196.57,295,264,368,14.188249772711409,0.4684098639081531,14.656659636619562,-189.13400000000001,-3.710000000000008,-3.3010110274669553,1,-3.5486034351548708
69377,5,Extend,>>,-2391,-200.35,295,266,370,14.354051973287774,1.4309399646637364,15.78499193795151,-192.844,-3.7099999999999795,-3.365762742715945,1,-3.6133551504038603
69488,5,Extend,>>,-2435,-204.13,293,265,366,14.475807425032578,1.8103729515176556,16.286180376550234,-196.572,-3.7280000000000086,-3.4308286172302935,1,-3.678421024918209
69599,5,Extend,<<,-2435,-207.82,298,266,368,15.100108150606168,2.051449246509982,17.15155739711615,-200.298,-3.725999999999999,-3.4958595851596024,1,-3.743451992847518
69711,5,Extend,<<,-2391,-209.05,303,271,375,16.263943031166118,2.439345360898568,18.703288392064685,-203.584,-3.2860000000000014,-3.5532111043801358,1,-3.8008035120680512
69822,5,Extend,<<,-2347,-209.14,305,273,379,16.73650656978179,2.773408389640462,19.50991495942225,-206.098,-2.51400000000001,-3.5970886817752734,1,-3.844681089463189
69933,5,Extend,<<,-2303,-206.42,307,272,378,17.451790641050838,3.005741327065384,20.45753196811622,-207.31199999999998,-1.2139999999999702,-3.618276978894484,1,-3.8658693865823994
93900,5,Extend,>>,29,7.91,433,396,554,41.10355552201915,24.444429130287432,65.54798465230658,14.222,-1.0020000000000007,0.24822072621863353,2,0.0
