Frame,Time(ms),ABC_signed(deg),BCD_signed(deg),∠ABC,∠BCD,∠ABC_smooth,∠BCD_smooth
19,679,-149.477650601778,-169.51993762632864,30.52234939822199,10.480062373671359,30.821422380572038,10.168322212420383
20,712,-148.70356905570378,-170.04611869447558,31.29643094429622,9.953881305524419,30.872826586895123,10.216760148149572
21,746,-149.477650601778,-169.51993762632864,30.52234939822199,10.480062373671359,30.773570718787965,10.285618954286887
22,779,-149.23904849501182,-169.95211897467058,30.760951504988185,10.047881025329417,30.744073654680534,10.288480909087824
23,812,-149.22975012385072,-169.51993762632864,30.77024987614928,10.480062373671359,30.708601610385674,10.268777562464471
24,846,-149.24818743159156,-169.7328632786588,30.75181256840844,10.267136721341188,30.699510048763308,10.183080710298402
25,879,-149.477650601778,-169.94425194557198,30.52234939822199,10.055748054428022,30.665631539778737,10.160914612712027
26,912,-149.24818743159156,-169.94425194557198,30.75181256840844,10.055748054428022,30.747640045387215,10.057500688145801
27,946,-149.46510381895456,-169.9356717881385,30.53489618104544,10.064328211861493,30.70032274344657,10.043486586541519
28,979,-149.00104950459288,-170.15411451626287,30.998950495407115,9.845885483737135,30.682192148069355,9.990454523853254
29,1012,-149.21796589195588,-169.93719812889987,30.782034108044115,10.062801871100135,30.679655140162083,10.023684242628129
30,1046,-149.45010053069743,-169.93093730111056,30.549899469302574,10.06906269888944,30.690581256988363,10.086512291682768
31,1079,-149.52559458566267,-169.83791680599924,30.474405414337326,10.162083194000758,30.639664673449538,10.14130228199553
32,1112,-149.2967545677372,-169.83791680599924,30.703245432262804,10.162083194000758,30.674517089864885,10.106469506120863
33,1146,-149.28027289798956,-169.83791680599924,30.719727102010438,10.162083194000758,30.684951176403885,10.108288486553935
34,1179,-149.28027289798956,-169.83791680599924,30.719727102010438,10.162083194000758,30.69545533625787,10.0839008834109
35,1212,-149.2967545677372,-170.04475987677657,30.703245432262804,9.955240123223433,30.74227638947882,10.011886138678282
36,1246,-148.98912587403038,-170.35389287051228,31.01087412596962,9.646107129487717,30.764073860336907,9.949389314275933
37,1279,-149.2967545677372,-169.83791680599924,30.703245432262804,10.162083194000758,30.825956430872267,9.849950758380853
38,1312,-149.52559458566267,-170.04626417680544,30.474405414337326,9.953735823194563,30.843167427590807,9.836194709032682
39,1346,-148.98912587403038,-170.35389287051228,31.01087412596962,9.646107129487717,30.8062261646556,9.883168931619851
40,1379,-149.08067631615373,-170.0539950575827,30.919323683846272,9.94600494241729,30.762675574975233,10.020984234976817
41,1412,-148.98912587403038,-170.1455454997061,31.01087412596962,9.854454500293912,30.754616476243765,10.078738525948765
42,1446,-149.62033123335834,-169.5348327874974,30.379668766641657,10.465167212502593,30.701745107638892,10.149603170587838
43,1479,-149.52559458566267,-169.62956943519305,30.474405414337326,10.370430564806952,30.652388544318338,10.198951759783418
44,1512,-149.2967545677372,-169.62956943519305,30.703245432262804,10.370430564806952,30.525521307014863,10.298606265586173
45,1546,-149.2967545677372,-170.04626417680544,30.703245432262804,9.953735823194563,30.494152277535388,10.306400936713354
46,1579,-149.83553973552355,-169.52797165613836,30.164460264476446,10.472028343861638,30.520217501871528,10.282254346488699
47,1612,-149.2967545677372,-170.04626417680544,30.703245432262804,9.953735823194563,30.547630205185918,10.276664365989753
48,1646,-149.51051629378748,-169.41580770914277,30.489483706212525,10.584192290857231,30.57442717562938,10.252255892298093
49,1679,-149.2967545677372,-169.83791680599924,30.703245432262804,10.162083194000758,30.600875196634497,10.179893311759972
50,1712,-149.2967545677372,-169.83791680599924,30.703245432262804,10.162083194000758,30.618214126514566,10.234901506474063
51,1746,-149.52559458566267,-169.62956943519305,30.474405414337326,10.370430564806952,30.732165915812367,10.107805049087169
52,1779,-148.98912587403038,-170.35389287051228,31.01087412596962,9.646107129487717,30.757973654813085,10.053319629839727
53,1812,-149.2967545677372,-170.04626417680544,30.703245432262804,9.953735823194563,30.837541963831796,9.947756645558654
54,1846,-149.2967545677372,-169.62956943519305,30.703245432262804,10.370430564806952,30.914084465061663,9.893568121110523
55,1879,-148.77220948666738,-170.57080925787528,31.22779051333262,9.429190742124717,30.88885640918077,9.892197144781449
56,1912,-149.08067631615373,-170.0539950575827,30.919323683846272,9.94600494241729,30.94030796779794,9.836528370282942
