Time(ms),MotorID,Phase,Direction,Position,Angle(deg),Frame,∠ABC,∠BCD,angle_smooth,L_cm,delta_motor,time_diff,cycle
16266,2,Flex,>>,-980,-76.75,486,136.49379447866127,154.0200627024953,-66.408,-1.1590382496643943,-5.187999999999995,102.0,0
16369,2,Flex,>>,-1040,-82.02,489,137.30732281807883,154.1785086015753,-71.59400000000001,-1.2495510246728205,-5.186000000000007,103.0,0
16471,2,Flex,>>,-1100,-87.21,492,138.37885429929818,154.98310652189997,-76.782,-1.3400987062662861,-5.187999999999988,102.0,0
16574,2,Flex,>>,-1160,-92.48,495,138.63601385165612,155.7701848973667,-82.00399999999999,-1.4312397998054298,-5.221999999999994,103.0,0
16676,2,Flex,>>,-1220,-97.76,498,140.24763367984488,155.29488616058617,-87.244,-1.5226950526099328,-5.240000000000009,102.0,0
16778,2,Flex,>>,-1280,-102.95,501,140.65807426467484,156.27049335034576,-92.48400000000001,-1.614150305414436,-5.240000000000009,102.0,0
16880,2,Flex,>>,-1340,-108.13,504,141.06423057855528,156.87692638041105,-97.706,-1.7052913989535796,-5.221999999999994,102.0,0
16983,2,Flex,>>,-1400,-113.23,507,141.51242302928787,157.02398720519122,-102.91000000000001,-1.7961183332273647,-5.204000000000008,103.0,0
17085,2,Flex,>>,-1460,-118.59,510,142.1045754723116,157.71782728816817,-108.13200000000002,-1.8872594267665088,-5.222000000000008,102.0,0
17187,2,Flex,>>,-1520,-123.87,514,142.48899107961591,158.33296589201703,-113.354,-1.9784005203056523,-5.22199999999998,102.0,0
17289,2,Flex,>>,-1580,-129.05,517,143.58502710208649,158.85875018343543,-118.574,-2.069506707259756,-5.219999999999999,102.0,0
17392,2,Flex,>>,-1640,-134.24,520,143.9664445066432,159.51566857147765,-123.796,-2.1606478007989005,-5.222000000000008,103.0,0
17494,2,Flex,>>,-1700,-139.43,523,144.2899997949962,160.20490251037543,-129.036,-2.252103053603403,-5.239999999999995,102.0,0
17596,2,Flex,>>,-1760,-144.62,526,144.7813189706073,160.58945837733077,-134.24200000000002,-2.342964894462228,-5.206000000000017,102.0,0
17699,2,Flex,>>,-1820,-149.71,529,145.47794151069044,160.78141916779393,-139.41,-2.433163510205295,-5.167999999999978,103.0,0
17801,2,Flex,>>,-1880,-154.9,532,145.08839951625882,161.53121150386625,-144.58,-2.523397032533402,-5.170000000000016,102.0,0
17904,2,Flex,>>,-1940,-160.0,535,145.14851341428798,161.40448667560543,-149.73200000000003,-2.61331639559615,-5.152000000000015,103.0,0
18006,2,Flex,>>,-2000,-165.01,538,145.67250572909845,161.07505857920304,-154.848,-2.7026074401281797,-5.1159999999999854,102.0,0
18108,2,Flex,>>,-2060,-170.2,541,145.8649401400989,161.49534831667955,-159.964,-2.7918984846602095,-5.1159999999999854,102.0,0
18210,2,Flex,>>,-2120,-175.21,544,145.67250572909845,161.78759845194483,-165.06400000000002,-2.8809102765119206,-5.100000000000023,102.0,0
18313,2,Flex,>>,-2180,-180.31,547,145.8649401400989,162.21016811449277,-170.14600000000002,-2.969607909098272,-5.081999999999994,103.0,0
18415,2,Flex,>>,-2240,-185.32,550,146.98364067509326,161.57809369438357,-175.21,-3.057991382419265,-5.063999999999993,102.0,0
18517,2,Flex,>>,-2300,-190.42,553,145.97528923940385,162.69891206876895,-180.29199999999997,-3.146689015005616,-5.081999999999965,102.0,0
18620,2,Flex,>>,-2360,-195.43,557,146.77059460750024,162.22924530505205,-185.33800000000002,-3.234758329061251,-5.046000000000049,103.0,0
18722,2,Flex,<<,-2360,-200.35,560,147.02420848945937,163.3761924675311,-190.36599999999999,-3.3225134838515253,-5.027999999999963,102.0,0
18825,2,Flex,<<,-2300,-201.85,563,147.30282431373035,162.89243996996453,-194.674,-3.3977022680274414,-4.308000000000021,103.0,0
