Time(ms),MotorID,Phase,Direction,Position,Angle(deg),Frame,∠ABC,∠BCD,angle_smooth,L_cm,delta_motor
31864,5,Extend,>>,-1840,-154.11,954.0,158.88323527067936,166.29476118164231,-147.64000000000001,-2.5768041076444286,-3.23599999999999
31966,5,Extend,>>,-1877,-157.27,957.0,158.61646646880243,165.83534787157726,-150.856,-2.6329338963885656,-3.2159999999999798
32069,5,Extend,>>,-1914,-160.53,960.0,157.68836329326118,166.694389764035,-154.074,-2.6890985917177437,-3.2180000000000177
32171,5,Extend,>>,-1951,-163.6,963.0,158.02206832718875,165.8519382128471,-157.274,-2.744949127781562,-3.1999999999999886
32274,5,Extend,>>,-1988,-166.68,966.0,157.72475613756183,166.3843173023934,-160.43800000000002,-2.800171345314663,-3.1640000000000157
32376,5,Extend,>>,-2025,-169.76,969.0,157.99249147626406,165.09066637425246,-163.56799999999998,-2.8548001509020846,-3.129999999999967
32479,5,Extend,<<,-2025,-172.84,972.0,157.1578394693867,165.3947699726373,-166.682,-2.909149703809188,-3.1140000000000043
32582,5,Extend,<<,-1988,-173.89,975.0,157.227470455359,165.17932049702137,-169.35399999999998,-2.9557849014224766,-2.671999999999997
32684,5,Extend,<<,-1951,-173.98,978.0,157.4634196826047,164.8823326667438,-171.43,-2.992017936693879,-2.076000000000022
32787,5,Extend,<<,-1914,-171.78,982.0,156.62662119539766,165.1839715212371,-172.45,-3.009820295064221,-1.0199999999999818
55215,5,Extend,>>,47,8.79,1654.0,174.1466243569843,172.03344367030692,14.012,0.24455553478944547,-0.8099999999999987
55317,5,Extend,>>,10,5.63,1657.0,175.88101581641206,172.3099749719249,11.709999999999999,0.20437805540853599,-2.3020000000000014
55419,5,Extend,>>,-27,2.46,1661.0,177.8578978868402,173.55306066464735,8.774,0.15313518856998246,-2.936
55522,5,Extend,>>,-64,-0.88,1664.0,179.78691073157242,173.76028589608973,5.592,0.09759881177152291,-3.1819999999999995
55624,5,Extend,>>,-101,-4.13,1667.0,179.43413415675357,175.13617676390328,2.3739999999999997,0.041434116442345376,-3.218
55726,5,Extend,>>,-138,-7.38,1670.0,178.69151368704166,176.15969840332033,-0.86,-0.015009831567151233,-3.2339999999999995
55829,5,Extend,>>,-175,-10.64,1673.0,178.0312327934763,176.78301308929238,-4.114,-0.07180284542704672,-3.254
55931,5,Extend,>>,-212,-13.71,1676.0,176.39507291262387,176.64521374312926,-7.348000000000001,-0.12824679343654335,-3.234000000000001
56034,5,Extend,>>,-249,-16.97,1679.0,175.91821322007596,177.30979957302245,-10.565999999999999,-0.18441148876572083,-3.217999999999998
56137,5,Extend,>>,-286,-20.04,1682.0,175.50908984963002,177.26498540909049,-13.748000000000001,-0.23994786556418043,-3.182000000000002
56239,5,Extend,>>,-323,-23.21,1685.0,175.5891456470824,177.61450117555938,-16.913999999999998,-0.29520498968232084,-3.165999999999997
56341,5,Extend,>>,-360,-26.46,1688.0,174.7199582637952,177.86020302805446,-20.078,-0.3504272072154215,-3.1640000000000015
56443,5,Extend,>>,-397,-29.54,1691.0,174.2566177053193,178.1441769462247,-23.244,-0.40568433133356196,-3.1660000000000004
56546,5,Extend,>>,-434,-32.88,1694.0,174.75686172372045,178.89597551080766,-26.426,-0.4612207081320215,-3.1819999999999986
56648,5,Extend,>>,-471,-36.04,1697.0,174.75686172372045,178.89597551080766,-29.625999999999998,-0.51707124419584,-3.1999999999999993
56751,5,Extend,>>,-508,-39.3,1700.0,174.35035074984788,178.48946453693557,-32.844,-0.5732359395250176,-3.2180000000000035
56853,5,Extend,>>,-545,-42.37,1704.0,174.91368534216627,178.90751522600368,-36.025999999999996,-0.6287723163234771,-3.181999999999995
56956,5,Extend,>>,-582,-45.54,1707.0,175.35142932318865,178.60827913083486,-39.226,-0.6846228523872957,-3.200000000000003
57058,5,Extend,>>,-619,-48.88,1710.0,175.48414781004797,177.47843385964012,-42.426,-0.7404733884511143,-3.200000000000003
57161,5,Extend,>>,-656,-52.13,1713.0,176.3233769868771,177.56335175318972,-45.644,-0.7966380837802918,-3.2179999999999964
57263,5,Extend,>>,-693,-55.21,1716.0,176.8871561136475,177.62117530940466,-48.826,-0.8521744605787513,-3.182000000000002
57365,5,Extend,>>,-730,-58.29,1719.0,177.94691283290732,177.30979957302245,-52.010000000000005,-0.9077457439622509,-3.1840000000000046
57468,5,Extend,>>,-767,-61.45,1722.0,178.76536829459593,177.38045120460546,-55.19199999999999,-0.9632821207607103,-3.181999999999988
57570,5,Extend,>>,-804,-64.62,1725.0,178.93124443245222,176.64231136840328,-58.34000000000001,-1.018225085613492,-3.1480000000000175
57672,5,Extend,>>,-841,-67.87,1728.0,179.5927574448599,176.3741816420215,-61.488000000000014,-1.0731680504662735,-3.1480000000000032
57774,5,Extend,>>,-878,-71.03,1731.0,178.12535517352794,175.3665475863818,-64.652,-1.128390267999374,-3.1639999999999873
57877,5,Extend,>>,-915,-74.2,1734.0,176.37900780038143,175.08383730179656,-67.834,-1.1839266447978336,-3.182000000000002
57979,5,Extend,>>,-952,-77.45,1737.0,175.2772223093161,174.83193687502518,-71.034,-1.2397771808616522,-3.200000000000003
58083,5,Extend,>>,-989,-80.62,1740.0,174.45416654239415,174.55585223568738,-74.23400000000001,-1.2956277169254709,-3.200000000000003
58185,5,Extend,>>,-1026,-83.69,1743.0,174.29046899692696,173.4322053367905,-77.398,-1.3508499344585712,-3.1639999999999873
58288,5,Extend,>>,-1063,-86.86,1747.0,173.4690033523727,172.98655036764671,-80.56400000000001,-1.4061070585767117,-3.166000000000011
58390,5,Extend,>>,-1100,-90.11,1750.0,172.65253385614054,173.07664636251093,-83.74600000000001,-1.4616434353751715,-3.182000000000002
58492,5,Extend,>>,-1137,-93.36,1753.0,171.59336133215598,172.70714589019192,-86.928,-1.5171798121736308,-3.181999999999988
58595,5,Extend,>>,-1174,-96.62,1756.0,170.7265412328135,172.63176470172212,-90.128,-1.5730303482374492,-3.200000000000003
58697,5,Extend,>>,-1211,-99.69,1759.0,170.160510692932,171.9184353835955,-93.328,-1.6288808843012679,-3.200000000000003
58800,5,Extend,>>,-1248,-102.86,1762.0,169.26188495113612,170.9451800211576,-96.52799999999999,-1.6847314203650863,-3.1999999999999886
58903,5,Extend,>>,-1285,-106.02,1765.0,168.19824187530546,170.60541321089715,-99.71,-1.7402677971635458,-3.182000000000002
59006,5,Extend,>>,-1322,-109.1,1768.0,167.38922936551748,169.90981239865206,-102.85799999999999,-1.7952107620163273,-3.147999999999996
59108,5,Extend,>>,-1359,-112.44,1771.0,166.32309456995566,169.57126137233007,-106.022,-1.850432979549428,-3.1640000000000157
59211,5,Extend,>>,-1396,-115.78,1774.0,165.12591817094395,169.4466455779485,-109.24000000000001,-1.9065976748786058,-3.2180000000000035
