Time(ms),MotorID,Phase,Direction,Position,Angle(deg),Frame,∠ABC,∠BCD,angle_smooth,L_cm,delta_motor
16369,2,Flex,>>,-1040,-82.02,489.0,129.20002001014228,136.5654924866189,-71.59400000000001,-1.2495510246728205,-5.186000000000007
16471,2,Flex,>>,-1100,-87.21,492.0,129.01746115390728,137.68977032315047,-76.782,-1.3400987062662861,-5.187999999999988
16574,2,Flex,>>,-1160,-92.48,495.0,129.84369688056202,137.60704621832247,-82.00399999999999,-1.4312397998054298,-5.221999999999994
16676,2,Flex,>>,-1220,-97.76,498.0,130.59916048552716,138.22725503658123,-87.244,-1.5226950526099328,-5.240000000000009
16778,2,Flex,>>,-1280,-102.95,501.0,130.84002371618433,138.2290428694714,-92.48400000000001,-1.614150305414436,-5.240000000000009
16880,2,Flex,>>,-1340,-108.13,504.0,131.7656025683962,138.06209345423187,-97.706,-1.7052913989535796,-5.221999999999994
16983,2,Flex,>>,-1400,-113.23,507.0,132.2537892815431,138.79903694465028,-102.91000000000001,-1.7961183332273647,-5.204000000000008
17085,2,Flex,>>,-1460,-118.59,510.0,133.33113593689288,139.05817511925375,-108.13200000000002,-1.8872594267665088,-5.222000000000008
17187,2,Flex,>>,-1520,-123.87,514.0,135.03294409624112,140.20941141009885,-113.354,-1.9784005203056523,-5.22199999999998
17289,2,Flex,>>,-1580,-129.05,517.0,135.96142342117034,140.39026594881028,-118.574,-2.069506707259756,-5.219999999999999
17392,2,Flex,>>,-1640,-134.24,520.0,136.5558283728895,141.31076498365547,-123.796,-2.1606478007989005,-5.222000000000008
17494,2,Flex,>>,-1700,-139.43,523.0,137.51312767531965,141.647105574259,-129.036,-2.252103053603403,-5.239999999999995
17596,2,Flex,>>,-1760,-144.62,526.0,138.51451586654733,142.2017523026413,-134.24200000000002,-2.342964894462228,-5.206000000000017
17699,2,Flex,>>,-1820,-149.71,529.0,139.6819279666204,141.99836463132965,-139.41,-2.433163510205295,-5.167999999999978
17801,2,Flex,>>,-1880,-154.9,532.0,141.05297815109708,142.50702723194243,-144.58,-2.523397032533402,-5.170000000000016
17904,2,Flex,>>,-1940,-160.0,535.0,142.12554516630803,143.03079791716632,-149.73200000000003,-2.61331639559615,-5.152000000000015
18006,2,Flex,>>,-2000,-165.01,538.0,142.49682503263355,143.18512014538385,-154.848,-2.7026074401281797,-5.1159999999999854
18108,2,Flex,>>,-2060,-170.2,541.0,142.41720533060607,144.31493110528717,-159.964,-2.7918984846602095,-5.1159999999999854
18210,2,Flex,>>,-2120,-175.21,544.0,143.92598010132104,144.10262248829193,-165.06400000000002,-2.8809102765119206,-5.100000000000023
18313,2,Flex,>>,-2180,-180.31,547.0,144.48641260915045,144.71679698791658,-170.14600000000002,-2.969607909098272,-5.081999999999994
18415,2,Flex,>>,-2240,-185.32,550.0,144.84159706254994,145.48357359089422,-175.21,-3.057991382419265,-5.063999999999993
18517,2,Flex,>>,-2300,-190.42,553.0,145.2976291845921,145.17633497001572,-180.29199999999997,-3.146689015005616,-5.081999999999965
18620,2,Flex,>>,-2360,-195.43,557.0,146.27999538704336,146.12768138344435,-185.33800000000002,-3.234758329061251,-5.046000000000049
18722,2,Flex,<<,-2360,-200.35,560.0,146.38098738364494,146.93651014988473,-190.36599999999999,-3.3225134838515253,-5.027999999999963
18825,2,Flex,<<,-2300,-201.85,563.0,146.30561156607973,147.30906472498364,-194.674,-3.3977022680274414,-4.308000000000021
18927,2,Flex,<<,-2240,-201.85,566.0,146.9257889091387,147.432343198233,-197.98,-3.4554028530983736,-3.305999999999983
19029,2,Flex,<<,-2180,-197.8,569.0,147.35535986508353,147.552966461731,-199.456,-3.48116391285781,-1.475999999999999
41407,2,Flex,>>,998,95.21,1240.0,124.74483650917551,141.30489164950575,103.78999999999999,1.8114772306449145,-1.3000000000000114
41509,2,Flex,>>,938,90.02,1243.0,123.91666402030262,140.78343449962924,100.026,1.745783037599848,-3.763999999999996
41611,2,Flex,>>,878,84.75,1246.0,123.7671400911594,140.2711377409911,95.208,1.6616930742387612,-4.817999999999998
41713,2,Flex,>>,818,79.56,1249.0,123.36522337167158,139.80035345728632,90.00399999999999,1.5708661399649761,-5.204000000000008
41817,2,Flex,>>,758,74.29,1252.0,123.1653796270825,139.49820323263114,84.76599999999999,1.4794457937455132,-5.2379999999999995
41919,2,Flex,>>,698,69.1,1256.0,122.45567759328208,139.77915638829256,79.544,1.3883047002063695,-5.221999999999994
42021,2,Flex,>>,638,63.91,1259.0,121.80849536061145,139.51740941962348,74.322,1.2971636066672256,-5.221999999999994
42124,2,Flex,>>,578,58.73,1262.0,121.6714201646662,139.04448557418112,69.118,1.2063366723934406,-5.204000000000008
42226,2,Flex,>>,518,53.54,1265.0,121.42870164337566,138.85263071886757,63.914,1.1155097381196557,-5.2039999999999935
42328,2,Flex,>>,458,48.09,1268.0,120.2925065745262,138.86540337093265,58.674,1.024054485315153,-5.240000000000002
42431,2,Flex,>>,398,42.99,1271.0,119.6259582194702,137.91185367276017,53.452,0.932913391776009,-5.222000000000001
42533,2,Flex,>>,338,37.71,1274.0,118.90303468109812,138.4675063658765,48.212,0.8414581389715062,-5.239999999999995
42636,2,Flex,>>,278,32.44,1277.0,118.38095376533931,138.28220785674972,42.95399999999999,0.7496887269016442,-5.25800000000001
42739,2,Flex,>>,218,27.16,1280.0,117.94088618074164,137.62636609619878,37.678000000000004,0.6576051555664235,-5.275999999999989
42841,2,Flex,>>,158,21.8,1283.0,117.71863659055838,137.54659012651615,32.42,0.5658357434965616,-5.258000000000003
42943,2,Flex,>>,98,16.53,1286.0,118.08253182422344,137.07813550993382,27.127999999999997,0.47347291948102166,-5.292000000000005
43046,2,Flex,>>,38,11.34,1289.0,117.78614778155308,137.64067394445,21.854,0.38142425473084074,-5.273999999999997
43149,2,Flex,>>,-22,6.15,1292.0,117.99382601118836,138.0162322092542,16.596,0.2896548426609789,-5.257999999999999
43252,2,Flex,>>,-82,0.88,1295.0,119.24882633654698,137.75248540026868,11.34,0.19792033717615698,-5.256
43354,2,Flex,>>,-142,-4.31,1299.0,120.11184182274252,138.03477782339263,6.118,0.10677924363701309,-5.2219999999999995
43457,2,Flex,>>,-202,-9.49,1302.0,120.64957348876855,138.74707247878436,0.914,0.01595230936322817,-5.204000000000001
43559,2,Flex,>>,-262,-14.68,1305.0,121.31148575181535,138.6812114004185,-4.29,-0.07487462491055674,-5.204
43661,2,Flex,>>,-322,-19.87,1308.0,122.25627413609,138.43726722208623,-9.494,-0.16570155918434165,-5.204
43763,2,Flex,>>,-382,-25.23,1311.0,123.40165456103551,138.43467660909758,-14.716,-0.2568426527234855,-5.2219999999999995
43866,2,Flex,>>,-442,-30.42,1314.0,122.93282037587524,139.78650184508265,-19.938,-0.3479837462626294,-5.2219999999999995
43968,2,Flex,>>,-502,-35.78,1317.0,123.40782458970894,139.7908605863095,-25.196,-0.4397531583324913,-5.258000000000003
44070,2,Flex,>>,-562,-40.97,1320.0,124.5692757913482,139.12131894892838,-30.454,-0.5315225704023532,-5.257999999999999
44172,2,Flex,>>,-622,-46.15,1323.0,124.1878955809933,139.9810819353084,-35.71,-0.623257075887175,-5.256
44275,2,Flex,>>,-682,-51.34,1326.0,124.63910155622943,139.15024299436487,-40.932,-0.7143981694263191,-5.222000000000001
44377,2,Flex,>>,-742,-56.62,1329.0,125.31175318315417,139.68568682424288,-46.172000000000004,-0.8058534222308219,-5.240000000000002
44480,2,Flex,>>,-802,-61.8,1332.0,125.2797550679364,139.7170174868351,-51.376,-0.8966803565046068,-5.2039999999999935
44582,2,Flex,>>,-862,-66.99,1335.0,125.35764818123944,139.57830602912114,-56.58,-0.9875072907783916,-5.204000000000001
44684,2,Flex,>>,-922,-72.26,1338.0,126.3417544202259,139.59272693967682,-61.802,-1.0786483843175356,-5.222000000000001
44787,2,Flex,>>,-982,-77.45,1342.0,126.89658408057616,139.8021900900543,-67.024,-1.1697894778566795,-5.222000000000001
44889,2,Flex,>>,-1042,-82.73,1345.0,127.60551116950694,140.40153105282462,-72.24600000000001,-1.2609305713958234,-5.222000000000008
44991,2,Flex,>>,-1102,-87.91,1348.0,127.445715239089,140.87664529475754,-77.468,-1.3520716649349673,-5.221999999999994
45094,2,Flex,>>,-1162,-93.19,1351.0,127.91357663717052,141.3855925125671,-82.708,-1.44352691773947,-5.239999999999995
45196,2,Flex,>>,-1222,-98.37,1354.0,128.66774629988444,140.9359327074946,-87.92999999999999,-1.5346680112786137,-5.221999999999994
45298,2,Flex,>>,-1282,-103.56,1357.0,128.84985810163533,141.29565467634026,-93.152,-1.6258091048177579,-5.222000000000008
45401,2,Flex,>>,-1342,-108.92,1360.0,129.2727641935887,141.59639373036725,-98.39,-1.7172294510372208,-5.2379999999999995
45504,2,Flex,>>,-1402,-114.11,1363.0,129.84716319215892,141.4871901059871,-103.63,-1.8086847038417235,-5.239999999999995
45607,2,Flex,>>,-1462,-119.56,1366.0,130.35972125753878,141.7264516831709,-108.904,-1.9007333685919046,-5.274000000000001
45710,2,Flex,>>,-1522,-124.92,1369.0,130.1011676497446,142.17534119966678,-114.21400000000001,-1.9934103518728037,-5.3100000000000165
45813,2,Flex,>>,-1582,-130.2,1372.0,129.76021867710375,142.63976793660032,-119.542,-2.0864014944190616,-5.327999999999989
45915,2,Flex,>>,-1642,-135.12,1375.0,130.7662988743137,142.0936729277871,-124.78200000000001,-2.1778567472235646,-5.240000000000009
46018,2,Flex,>>,-1702,-140.4,1378.0,130.05836589394477,143.01443135481685,-130.04000000000002,-2.2696261592934266,-5.25800000000001
46120,2,Flex,>>,-1762,-145.41,1382.0,130.24447500839975,143.4677192177431,-135.21,-2.359859681621533,-5.1699999999999875
46223,2,Flex,>>,-1822,-150.51,1385.0,130.79543287090314,142.73677366221958,-140.328,-2.449185632738603,-5.117999999999995
46325,2,Flex,>>,-1882,-155.6,1388.0,130.98308213287825,143.28427791852883,-145.40800000000002,-2.537848358739915,-5.0800000000000125
