Time(ms),MotorID,Phase,Direction,Position,Angle(deg),Frame,∠ABC,∠BCD,L_cm,diff,active,segment_id
115541,5,Extend,>>,-1248,-103.3,3464.0,169.96747609169768,175.64577893693047,-1.8029251173101424,1.085998794273138,1,26
115644,5,Extend,>>,-1285,-106.37,3467.0,168.74533859583394,175.42703906893968,-1.8565067253463685,1.222137495863734,1,26
115746,5,Extend,>>,-1322,-109.36,3470.0,167.56706309937357,175.09047674474556,-1.9086920699809988,1.1782754964603726,1,26
115849,5,Extend,>>,-1359,-112.79,3473.0,166.4428172090403,174.38934157101457,-1.9685568633244044,1.1242458903332704,1,26
115952,5,Extend,>>,-1396,-116.04,3476.0,165.40189027313878,173.90169657648028,-2.02528006401422,1.040926935901524,1,26
116054,5,Extend,>>,-1433,-119.12,3480.0,164.19777791056072,173.08194626602935,-2.0790362049756452,1.2041123625780585,1,26
116158,5,Extend,>>,-1470,-122.29,3483.0,163.13080168028262,173.0532756410989,-2.1343631422638656,1.066976230278101,1,26
140107,5,Extend,>>,195,17.14,4201.0,146.24654790248508,158.6193474281584,0.29914943379182807,2.790644951053622,1,30
140209,5,Extend,>>,158,17.14,4204.0,149.30204615972778,159.294075515514,0.29914943379182807,3.0554982572427036,1,30
140312,5,Extend,>>,121,15.03,4207.0,152.61772841754473,159.68368759235335,0.26232298657474773,3.3156822578169454,1,30
140414,5,Extend,>>,84,11.87,4210.0,156.1607857709122,161.32175845881315,0.2071705822117269,3.5430573533674874,1,30
140516,5,Extend,>>,47,8.7,4213.0,159.8873078989371,162.58660170224397,0.15184364492350666,3.7265221280248966,1,30
140618,5,Extend,>>,10,5.54,4216.0,161.17650059392759,162.34227182795618,0.09669124056048586,1.2891926949904757,1,30
140720,5,Extend,>>,-27,2.29,4220.0,162.63276050659618,164.23677582139084,0.039968039870670144,1.4562599126685996,1,30
140823,5,Extend,>>,-64,-0.97,4223.0,164.0726791461662,165.6642554283663,-0.016929693744344994,1.4399186395700099,1,30
140925,5,Extend,>>,-101,-4.22,4226.0,165.9527986557187,166.3295179441907,-0.0736528944341607,1.8801195095525145,1,30
141027,5,Extend,>>,-138,-7.38,4229.0,167.94529492824688,168.0270622564628,-0.12880529879718153,1.9924962725281716,1,30
141129,5,Extend,>>,-175,-10.73,4232.0,169.80794519476544,169.293987840283,-0.18727382873899157,1.862650266518557,1,30
141231,5,Extend,>>,-212,-13.89,4235.0,171.55680018258522,169.87299811117606,-0.2424262331020124,1.748854987819783,1,30
141334,5,Extend,>>,-249,-17.05,4238.0,173.32428044509948,171.224431160519,-0.2975786374650332,1.7674802625142547,1,30
141436,5,Extend,>>,-286,-20.22,4241.0,174.99400845461733,171.6237299840846,-0.3529055747532534,1.6697280095178542,1,30
141539,5,Extend,>>,-323,-23.47,4244.0,176.43143479665255,172.28866843366004,-0.40962877544306914,1.4374263420352236,1,30
141642,5,Extend,>>,-360,-26.81,4247.0,177.7836788072256,173.49259964859274,-0.4679227724596797,1.3522440105730595,1,30
143689,5,Extend,>>,-1100,-90.64,4309.0,175.8810099440017,173.77860100258073,-1.5819664340076602,1.2448654941753432,1,32
143792,5,Extend,>>,-1137,-93.89,4312.0,174.1875390911554,172.5621752894052,-1.638689634697476,1.6934708528463034,1,32
143894,5,Extend,>>,-1174,-97.05,4315.0,172.06434441412097,171.61559916759765,-1.6938420390604967,2.1231946770344337,1,32
143996,5,Extend,>>,-1211,-100.13,4318.0,169.81377953989767,170.98672009278752,-1.747598180021922,2.2505648742233006,1,32
144099,5,Extend,>>,-1248,-103.38,4321.0,167.38901232061772,170.90585316219762,-1.8043213807117378,2.4247672192799428,1,32
144202,5,Extend,>>,-1285,-106.46,4324.0,165.17784251452053,170.04444972526724,-1.858077521673163,2.211169806097189,1,32
144305,5,Extend,>>,-1322,-109.54,4327.0,163.32032945381414,169.0939907620459,-1.9118336626345886,1.8575130607063954,1,32
144408,5,Extend,>>,-1359,-112.97,4330.0,161.70670480404587,168.78775044671724,-1.971698455977994,1.6136246497682691,1,32
144510,5,Extend,>>,-1396,-116.22,4333.0,160.26410943218758,167.52151687350144,-2.0284216566678097,1.442595371858289,1,32
144613,5,Extend,>>,-1433,-119.3,4336.0,159.14627203604672,167.11854128251025,-2.0821777976292353,1.1178373961408568,1,32
144716,5,Extend,>>,-1470,-122.46,4339.0,158.04559819406524,166.97409741830765,-2.1373302019922558,1.1006738419814894,1,32
