Time(ms),MotorID,Phase,Direction,Position,Angle(deg),Frame,∠ABC,∠BCD,angle_smooth,L_cm,delta_motor,time_diff,cycle
31453,5,Extend,>>,-1692,-141.19,942,152.65012421993015,179.37011889309625,-134.752,-2.351866073647399,-3.1839999999999975,102.0,0
31556,5,Extend,>>,-1729,-144.44,945,152.65012421993015,179.1292326691617,-137.97,-2.4080307689765763,-3.2179999999999893,103.0,0
31658,5,Extend,>>,-1766,-147.6,948,152.59593606779217,178.9692407662606,-141.186,-2.464160557720714,-3.216000000000008,102.0,0
31761,5,Extend,>>,-1803,-150.86,951,152.26237094787123,178.84111347099923,-144.40400000000002,-2.520325253049892,-3.2180000000000177,103.0,0
31864,5,Extend,>>,-1840,-154.11,954,152.26237094787123,178.37924097295982,-147.64000000000001,-2.5768041076444286,-3.23599999999999,103.0,0
31966,5,Extend,>>,-1877,-157.27,957,152.50908406052034,178.15106155969545,-150.856,-2.6329338963885656,-3.2159999999999798,102.0,0
32069,5,Extend,>>,-1914,-160.53,960,152.26990646138515,178.2225767834788,-154.074,-2.6890985917177437,-3.2180000000000177,103.0,0
32171,5,Extend,>>,-1951,-163.6,963,152.5170371700276,178.4563900015567,-157.274,-2.744949127781562,-3.1999999999999886,102.0,0
32274,5,Extend,>>,-1988,-166.68,966,151.93958295642966,178.3228130183021,-160.43800000000002,-2.800171345314663,-3.1640000000000157,103.0,0
32376,5,Extend,>>,-2025,-169.76,969,151.30545177833633,178.11578008056097,-163.56799999999998,-2.8548001509020846,-3.129999999999967,102.0,0
32479,5,Extend,<<,-2025,-172.84,972,151.6222809119924,177.65390758252167,-166.682,-2.909149703809188,-3.1140000000000043,103.0,0
32582,5,Extend,<<,-1988,-173.89,975,151.5529855059327,177.88015022485013,-169.35399999999998,-2.9557849014224766,-2.671999999999997,103.0,0
32684,5,Extend,<<,-1951,-173.98,978,151.05017511346753,178.43936107126407,-171.43,-2.992017936693879,-2.076000000000022,102.0,0
32787,5,Extend,<<,-1914,-171.78,982,151.6222809119924,178.11578008056097,-172.45,-3.009820295064221,-1.0199999999999818,103.0,0
55215,5,Extend,>>,47,8.79,1654,172.9376154300022,171.64602170621416,14.012,0.24455553478944547,-0.8099999999999987,22428.0,1
55317,5,Extend,>>,10,5.63,1657,173.41528802481255,170.88564057595852,11.709999999999999,0.20437805540853599,-2.3020000000000014,102.0,1
55419,5,Extend,>>,-27,2.46,1661,174.70629742638573,170.03662280739889,8.774,0.15313518856998246,-2.936,102.0,1
55522,5,Extend,>>,-64,-0.88,1664,175.72707929300435,169.9691110516335,5.592,0.09759881177152291,-3.1819999999999995,103.0,1
55624,5,Extend,>>,-101,-4.13,1667,176.72384087751485,169.36979675067693,2.3739999999999997,0.041434116442345376,-3.218,102.0,1
55726,5,Extend,>>,-138,-7.38,1670,178.10648050014368,169.03519360068077,-0.86,-0.015009831567151233,-3.2339999999999995,102.0,1
