Time(ms),MotorID,angle_smooth,dmotor,cycle,L_cm,L_rel_cm,SensorA1
35800,5,-83.816,-3.798000000000002,0,-1.4628651658515672,-1.7625381984189936,356
35909,5,-87.632,-3.8160000000000025,0,-1.5294669301076709,-1.8291399626750973,352
36019,5,-91.42999999999999,-3.7979999999999876,0,-1.5957545350984155,-1.8954275676658419,345
36129,5,-95.21000000000001,-3.7800000000000153,0,-1.6617279808238012,-1.9614010133912276,341
36238,5,-98.97200000000001,-3.7620000000000005,0,-1.727387267283828,-2.027060299851254,341
36348,5,-102.71600000000001,-3.7439999999999998,0,-1.7927323944784956,-2.092405427045922,334
36458,5,-106.46,-3.7439999999999856,0,-1.858077521673163,-2.1577505542405895,332
36569,5,-110.204,-3.7439999999999998,0,-1.9234226488678308,-2.223095681435257,330
36678,5,-113.96600000000001,-3.7620000000000147,0,-1.9890819353278577,-2.288754967895284,326
36788,5,-117.74600000000001,-3.780000000000001,0,-2.0550553810532435,-2.35472841362067,321
36899,5,-121.50999999999999,-3.7639999999999816,0,-2.1207495740983098,-2.420422606665736,312
37009,5,-125.23799999999999,-3.7279999999999944,0,-2.185815448612658,-2.4854884811800844,311
37119,5,-129.002,-3.764000000000024,0,-2.251509641657725,-2.5511826742251515,306
37229,5,-132.784,-3.7819999999999823,0,-2.3175179939681505,-2.617191026535577,299
37339,5,-136.56599999999997,-3.7819999999999823,0,-2.383526346278576,-2.6831993788460022,298
37449,5,-140.328,-3.762000000000029,0,-2.449185632738603,-2.748858665306029,293
37558,5,-144.108,-3.780000000000001,0,-2.5151590784639883,-2.8148321110314147,290
37668,5,-147.852,-3.7439999999999998,0,-2.5805042056586562,-2.8801772382260826,287
37779,5,-151.632,-3.780000000000001,0,-2.646477651384042,-2.946150683951468,282
37888,5,-155.394,-3.7620000000000005,0,-2.7121369378440687,-3.011809970411495,280
37998,5,-159.156,-3.7620000000000005,0,-2.7777962243040952,-3.0774692568715216,278
38108,5,-162.88400000000001,-3.7280000000000086,0,-2.842862098818444,-3.1425351313858703,275
38218,5,-166.576,-3.691999999999979,0,-2.9072996548020744,-3.206972687369501,273
38328,5,-170.26799999999997,-3.691999999999979,0,-2.9717372107857045,-3.271410243353131,270
38438,5,-173.97799999999998,-3.710000000000008,0,-3.036488926034694,-3.3361619586021205,270
38548,5,-177.706,-3.7280000000000086,0,-3.101554800549043,-3.4012278331164696,270
38657,5,-181.468,-3.7620000000000005,0,-3.1672140870090697,-3.466887119576496,267
38767,5,-185.196,-3.7280000000000086,0,-3.2322799615234183,-3.5319529940908447,266
38877,5,-188.924,-3.7280000000000086,0,-3.2973458360377674,-3.597018868605194,264
38987,5,-192.66799999999998,-3.7439999999999714,0,-3.3626909632324344,-3.662363995799861,265
39097,5,-196.448,-3.7800000000000296,0,-3.4286644089578204,-3.728337441525247,262
